RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
Hays County,TX,Austin-Round Rock,48,209,396,202717,199900,198500,194900,199900,199900,198570,195900,198000,190000,198785,188750,182408,180500,189900,194995,198500,189900,189990,189015,189900,193691.5,189990,192430,193000,193224,195000,199940,197551,196900,197275.5,194850,197965,2.00E+05,198821.5,199900,199000,209500,209596,215990,212461.5,211596,219140,219990,225000,225000,226074.5,223586,227810,227000,234196,243337,247117,242945,242900,249082.5,249900,249000,249798.5,266990,269990,279063,280000,270450,279995,284101.5,289374,296069,295000,299995,319900,346990,332340.5,274999.5,285893.5,285794.5,289880,299900,297837.5,293675.5,288950,291200,287900,284945,288146,299000,3.00E+05,314950,304021,310000,310450,300782,296023.5,297250,295988.5,299994.5,296500,289995,299500,299900,310000,315000,305547,302489,299990,299004,300774,299965,299700,299900,303513,3.00E+05,299990,302781.5,300495
Cumberland County,NJ,Vineland-Bridgeton,34,11,397,177950,172000,174900,169900,169900,169900,169900,169900,169900,169895,164900,159900,159900,159000,159900,153500,154900,154900,152800,154900,155000,154900,157500,154900,149997.5,149900,150000,150000,149900,149900,149000,149000,149900,149000,147400,145000,145000,145000,144900,144900,149000,149500,145000,145000,145000,144500,139900,139900,139900,139900,139900,139900,142747.5,145000,145000,142500,144900,144900,139900,139900,139411,139899.5,139899.5,137000,137000,139000,136000,134900,134900,129900,134900,130000,129900,129000,128950,129900,130000,130000,129000,127000,124900,124900,125000,124000,127900,128900,129900,130000,133314,134900,132950,130000,130000,129900,128000,124900,124294,124900,124900,129900,135000,139450,139900,135000,139000,139000,134500,130000,130000,129000,129000,131900,130000,137900,139900
Sullivan County,TN,Kingsport-Bristol-Bristol,47,163,398,164900,159900,159900,159900,156400,159900,159900,159900,159900,154900,154925,155000,150000,149900,154900,150000,156185,150000,149900,149900,150000,149900,149900,149972,144900,144950,149900,145000,147500,145000,139900,139900,139900,139925,139950,139700,139900,139950,139925,147500,149900,149000,144900,144900,140000,142500,139900,139900,139900,139900,148998,149000,149900,149900,149999.5,149900,150000,149900,149900,149900,146500,144985,146900,149900,159000,159900,159900,159900,159900,159900,155250,150000,152900,154500,155500,159900,159900,159942.5,159985,164900,159900,159900,164900,164000,159900,159900,164900,169500,166900,169872.5,169850,169000,165000,167500,164900,159942.5,164700,159900,159967.5,169000,169900,169900,169900,170000,174000,172500,174000,169700,165000,164850,169900,174900,179000,179900,177750
Berrien County,MI,Niles-Benton Harbor,26,21,399,175000,176450,169000,185900,189000,185900,184250,179900,176900,175000,174748,169900,167950,168500,169000,169900,179900,183200,184900,182000,184849.5,184500,179900,169900,164250,169900,169000,169000,169900,172500,168250,169900,169900,168950,167900,159900,159000,159000,159900,162900,168900,169900,169900,169000,169900,169900,169900,165000,164000,161400,169900,175000,189000,182500,175900,174900,179000,169950,169000,169900,169500,174900,180000,187500,190000,189250,184950,188500,189900,189000,179000,171950,169000,169950,179900,189000,196250,205000,209900,203900,214900,212400,199900,199000,190000,190000,209900,220087.5,224900,229900,229000,224900,224900,220000,221400,219900,217400,229900,239250,259950,249900,259950,255000,252900,259900,259000,249900,238440,239900,249900,253000,259900,265000,264000,259900
Chittenden County,VT,Burlington-South Burlington,50,7,400,283700,284900,278250,283750,290000,294431,295000,289000,279000,279900,272500,269000,269000,269000,267000,279900,275000,279900,287000,276000,274450,271000,269900,264900,269900,259900,265715,274900,279950,289250,294900,289900,275000,269450,269900,269900,278530,284950,279900,289900,298000,294000,295000,289900,289000,299000,299000,296500,299000,289900,295000,299900,305000,315900,315000,315900,310000,319900,319950,329000,305000,329900,320400,329900,335500,344450,333220,331900,335000,347750,341410,340000,332400,336975,338918.5,347000,346500,346150,347400,349900,350000,357500,359000,374150,378900,377900,374000,374950,366250,378950,389900,389900,389900,387000,387500,397900,394400,394900,370000,372900,369900,367500,367500,364700,356700,359000,359900,363775,387500,366250,375000,372700,372500,369000,369900
Bibb County,GA,Macon-Bibb County,13,21,401,,,,,,,,,,,,,,,,115900,119000,119000,119000,113950,115900,110000,104900,99900,99900,99625,99900,99900,99500,99900,99700,99900,99900,99900,103449.5,99900,1.00E+05,104900,104900,99900,1.00E+05,106250,114900,112500,114900,114000,110000,109900,105000,109700,114500,119000,119900,119500,119900,117000,114900,114950,117000,110000,117250,119000,119900,119000,119000,117900,112950,112000,114900,112500,109900,108000,113000,112250,114900,120000,124000,121900,124900,122900,119000,115000,119000,119900,119000,119000,124000,124900,125000,129500,129900,134000,129198,125000,125000,123750,120000,123000,125000,124900,124700,124900,128950,130000,134900,133200,134900,129900,125990,129000,131990,138900,139500,140000,139900
Maui County,HI,Kahului-Wailuku-Lahaina,15,9,402,580500,595000,579000,586896,588000,565000,549904.5,542450,539000,529900,549000,535000,542000,529250,525000,5.00E+05,499900,499000,499000,499000,489000,484950,484900,499000,499999,498000,495000,495500,499000,499000,499000,499900,536350,528000,535000,549000,575000,599000,599000,599000,624900,619450,610000,601000,613450,599999,599999,624500,629900,639950,650000,649000,649000,639000,645000,625000,624250,599900,599900,595000,598000,610000,630000,649000,575000,650000,640000,625000,599999.5,599000,599500,645000,649500,650000,642500,649900,658000,649000,649000,649000,649000,650000,650000,699900,699900,679000,675000,669000,695000,688000,694950,685000,679949.5,679000,689950,725000,725500,724950,735000,735000,729000,744500,749000,750000,759000,750000,785000,799000,799000,810000,795000,779000,799000,799900,802475
Schenectady County,NY,Albany-Schenectady-Troy,36,93,403,169900,169900,169900,169900,169900,174900,174000,169900,169900,164900,164900,159900,161290,160000,164999,165000,169900,169800,169900,169900,169900,167500,164900,159900,164900,164500,163950,167950,167750,167000,165000,162100,159900,159900,160000,163375,164900,168400,168000,169900,169999,169900,169900,170500,168850,167900,165000,160000,159900,159900,159900,157700,159800,162500,159900,159900,159900,159000,155000,149900,149900,149900,150000,156900,159900,164900,165450,164900,159900,155450,155000,151000,149900,148000,149999,153000,154900,159900,159900,155900,154900,158900,154900,149900,149900,154900,154900,159900,165000,169900,169900,169900,169000,165250,169900,164777,162400,164900,165000,169900,174900,179900,179900,179900,179000,174900,174900,172000,174900,177000,174900,180000,188500,189900,189900
Catawba County,NC,Hickory-Lenoir-Morganton,37,35,404,197450,194500,194500,194500,179900,176900,179900,174900,175000,170750,169900,169900,169500,169900,169900,169900,169900,169500,165000,164900,165000,164500,162950,163000,160000,160000,164900,162900,160400,159000,159900,159000,159000,149900,150000,150000,149000,147450,149900,154900,154950,159900,159900,155000,148000,149500,145000,144200,139900,139950,149000,159900,159900,159900,159900,159500,159900,159000,150000,149900,149000,149000,159000,162900,174900,169900,174900,174900,175000,175000,180000,174900,174500,184900,189900,189900,189900,187450,186900,189900,189900,183900,179900,178900,179900,179900,189900,207000,209000,214900,225000,229500,229500,225000,229900,235995,235000,219900,218500,220000,230000,239000,235000,229900,229900,230000,236900,242245,229950,239500,250000,254900,250000,250000,244945
Centre County,PA,State College,42,27,405,242900,249900,244900,249000,244900,241450,235950,234900,234900,229900,229900,225900,223450,224900,224900,234900,237250,229900,229250,229000,229000,223400,219900,214400,224900,229250,229900,234900,235000,229900,226200,229000,224950,222950,219900,220700,229900,242900,239000,237750,235000,234945,232900,229000,235000,224000,219500,219000,235500,229900,239900,239900,234900,229000,229900,229900,235000,229900,229900,234700,238450,244900,249500,250500,252900,253900,249900,249900,257448,253900,262700,260000,261650,254900,271374,280000,270000,259900,249900,256000,259000,246500,249000,246000,241000,269000,279900,279900,283900,279900,275000,260000,265000,249900,254850,255000,256450,259000,297500,299000,284900,289000,274900,272500,260000,249900,249950,240000,252490,262995,295000,299900,299900,299500,289900
Penobscot County,ME,Bangor,23,19,406,154900,154900,157500,159000,157200,159000,155000,154900,154900,152900,154900,154900,151950,149900,149999.5,149900,149900,149900,149777,149000,145000,145000,145111,143000,145900,144500,145950,149800,145000,148500,144900,139900,139900,136000,136000,130000,129900,129995,129900,135000,139000,139900,139700,137119,137900,135500,134000,134900,134900,139000,135222,139900,144900,147250,139900,140000,139900,139900,138250,139000,138500,139000,139900,139000,139900,139925,139999.5,139000,135000,134900,132500,129900,129900,132500,134900,135000,137500,140000,139900,139900,139000,135000,135000,135500,139500,139950,148500,150000,154900,155000,149900,149900,149900,149900,148500,140000,139900,139900,146500,149000,156900,159900,159900,159900,159000,155000,154900,150000,149900,150000,155000,159000,159000,164000,168000
Ouachita Parish,LA,Monroe,22,73,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134900,139000,139400,140000,143000,145000,145500,142000,136400,137500,138500,133000,135250,137500,139900,145000,149000,154990,155000,154000,149900,151900,149900,154500,161000,150000,157200,159900,159700,164900,165000,162000,164500,169000,171350,172800,178500,182500,190000,190000,191750,196200,197900,199900,208000,202500,201000,199500,195000,199900,209900,216250,219900,224450,223500,224900,219900,229000,225000,219900,215000,210000,210000,210000,218650,215500,215000,215000,209900,214770.5,210000,209000,210000,215000,220000,219000,219000,215250
