YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2010-09,2010,Fairview,Dallas-Fort Worth-Arlington,TX,3581,5
2010-09,2010,Trophy Club,Dallas-Fort Worth-Arlington,TX,3668,3.03
2010-09,2010,Fulshear,Houston-The Woodlands-Sugar Land,TX,3683,3.599
2010-09,2010,Lantana,Dallas-Fort Worth-Arlington,TX,3687,2.565
2010-09,2010,Bee Cave,Austin-Round Rock,TX,3701,3.5
2010-09,2010,Heath,Dallas-Fort Worth-Arlington,TX,3726,4.002
2010-09,2010,Fate,Dallas-Fort Worth-Arlington,TX,3732,2.781
2010-09,2010,Fair Oaks Ranch,San Antonio-New Braunfels,TX,3766,3.931
2010-09,2010,Port Aransas,Corpus Christi,TX,3809,5.263
2010-09,2010,Laguna Vista,Brownsville-Harlingen,TX,3890,4.467
2010-09,2010,South Padre Island,Brownsville-Harlingen,TX,3916,8.324
2010-10,2010,Houston,Houston-The Woodlands-Sugar Land,TX,3,4.244
2010-10,2010,San Antonio,San Antonio-New Braunfels,TX,5,3.789
2010-10,2010,Dallas,Dallas-Fort Worth-Arlington,TX,10,4.444
2010-10,2010,Austin,Austin-Round Rock,TX,11,3.227
2010-10,2010,Fort Worth,Dallas-Fort Worth-Arlington,TX,17,4.063
2010-10,2010,El Paso,El Paso,TX,22,3.534
2010-10,2010,Arlington,Dallas-Fort Worth-Arlington,TX,52,4.008
2010-10,2010,Corpus Christi,Corpus Christi,TX,69,4.061
2010-10,2010,Plano,Dallas-Fort Worth-Arlington,TX,82,3.171
2010-10,2010,Lubbock,Lubbock,TX,90,3.109
2010-10,2010,Laredo,Laredo,TX,108,5.942
2010-10,2010,Garland,Dallas-Fort Worth-Arlington,TX,112,4.334
2010-10,2010,Spring,Houston-The Woodlands-Sugar Land,TX,113,4.048
2010-10,2010,Irving,Dallas-Fort Worth-Arlington,TX,119,3.592
2010-10,2010,Amarillo,Amarillo,TX,149,3.529
2010-10,2010,Brownsville,Brownsville-Harlingen,TX,157,4.022
2010-10,2010,Grand Prairie,Dallas-Fort Worth-Arlington,TX,165,4.238
2010-10,2010,Killeen,Killeen-Temple,TX,182,4.615
2010-10,2010,Sugar Land,Houston-The Woodlands-Sugar Land,TX,191,3.03
2010-10,2010,McKinney,Dallas-Fort Worth-Arlington,TX,196,2.822
2010-10,2010,Odessa,Odessa,TX,203,4.858
2010-10,2010,Midland,Midland,TX,206,3.512
2010-10,2010,Tyler,Tyler,TX,210,3.953
2010-10,2010,Cypress,Houston-The Woodlands-Sugar Land,TX,213,3.321
2010-10,2010,Round Rock,Austin-Round Rock,TX,214,3.077
2010-10,2010,Edinburg,McAllen-Edinburg-Mission,TX,221,5.755
2010-10,2010,Conroe,Houston-The Woodlands-Sugar Land,TX,222,4.141
2010-10,2010,Pasadena,Houston-The Woodlands-Sugar Land,TX,227,4.636
2010-10,2010,Beaumont,Beaumont-Port Arthur,TX,228,3.784
2010-10,2010,Frisco,Dallas-Fort Worth-Arlington,TX,230,2.859
2010-10,2010,Mesquite,Dallas-Fort Worth-Arlington,TX,238,5.345
2010-10,2010,McAllen,McAllen-Edinburg-Mission,TX,245,4.77
2010-10,2010,Abilene,Abilene,TX,257,3.541
2010-10,2010,Carrollton,Dallas-Fort Worth-Arlington,TX,266,3.583
2010-10,2010,Waco,Waco,TX,274,4.482
2010-10,2010,Pearland,Houston-The Woodlands-Sugar Land,TX,277,3.397
2010-10,2010,Denton,Dallas-Fort Worth-Arlington,TX,279,3.75
2010-10,2010,College Station,College Station-Bryan,TX,322,3.545
2010-10,2010,Lewisville,Dallas-Fort Worth-Arlington,TX,329,2.928
2010-10,2010,Richardson,Dallas-Fort Worth-Arlington,TX,353,3.064
2010-10,2010,Wichita Falls,Wichita Falls,TX,367,4.8
2010-10,2010,The Woodlands,Houston-The Woodlands-Sugar Land,TX,379,3.238
2010-10,2010,Longview,Longview,TX,380,4.098
2010-10,2010,League City,Houston-The Woodlands-Sugar Land,TX,403,3.243
2010-10,2010,Bryan,College Station-Bryan,TX,415,4.898
2010-10,2010,New Braunfels,San Antonio-New Braunfels,TX,430,3.064
2010-10,2010,Allen,Dallas-Fort Worth-Arlington,TX,441,3.078
2010-10,2010,San Angelo,San Angelo,TX,476,3.226
2010-10,2010,Georgetown,Austin-Round Rock,TX,490,3
2010-10,2010,Victoria,Victoria,TX,499,3.228
2010-10,2010,Pflugerville,Austin-Round Rock,TX,506,3.228
2010-10,2010,Missouri City,Houston-The Woodlands-Sugar Land,TX,595,4.348
2010-10,2010,Mission,McAllen-Edinburg-Mission,TX,596,4.492
2010-10,2010,Richmond,Houston-The Woodlands-Sugar Land,TX,600,2.846
2010-10,2010,Tomball,Houston-The Woodlands-Sugar Land,TX,606,3.704
2010-10,2010,Temple,Killeen-Temple,TX,626,9.893
2010-10,2010,Pharr,McAllen-Edinburg-Mission,TX,637,5
2010-10,2010,Atascocita,Houston-The Woodlands-Sugar Land,TX,639,3.684
2010-10,2010,Baytown,Houston-The Woodlands-Sugar Land,TX,653,5.664
2010-10,2010,San Marcos,Austin-Round Rock,TX,661,3.778
2010-10,2010,Flower Mound,Dallas-Fort Worth-Arlington,TX,673,2.779
2010-10,2010,Cedar Park,Austin-Round Rock,TX,715,2.937
2010-10,2010,North Richland Hills,Dallas-Fort Worth-Arlington,TX,743,4.006
2010-10,2010,Huntsville,Huntsville,TX,782,6.114
2010-10,2010,Mansfield,Dallas-Fort Worth-Arlington,TX,789,3.281
2010-10,2010,Harlingen,Brownsville-Harlingen,TX,810,5.959
2010-10,2010,Texarkana,Texarkana,TX,863,4.765
2010-10,2010,Euless,Dallas-Fort Worth-Arlington,TX,945,2.476
2010-10,2010,Port Arthur,Beaumont-Port Arthur,TX,950,6.258
2010-10,2010,Desoto,Dallas-Fort Worth-Arlington,TX,981,4.753
2010-10,2010,Grapevine,Dallas-Fort Worth-Arlington,TX,1058,2.606
2010-10,2010,Waxahachie,Dallas-Fort Worth-Arlington,TX,1064,3.75
2010-10,2010,Little Elm,Dallas-Fort Worth-Arlington,TX,1067,3.548
2010-10,2010,Cedar Hill,Dallas-Fort Worth-Arlington,TX,1083,4.857
2010-10,2010,Galveston,Houston-The Woodlands-Sugar Land,TX,1090,5
2010-10,2010,Bedford,Dallas-Fort Worth-Arlington,TX,1095,3.248
2010-10,2010,Rowlett,Dallas-Fort Worth-Arlington,TX,1117,3.849
2010-10,2010,Wylie,Dallas-Fort Worth-Arlington,TX,1155,3.091
2010-10,2010,Granbury,Dallas-Fort Worth-Arlington,TX,1159,4.444
2010-10,2010,Katy,Houston-The Woodlands-Sugar Land,TX,1167,4.394
2010-10,2010,Seguin,San Antonio-New Braunfels,TX,1172,5.066
2010-10,2010,Haltom City,Dallas-Fort Worth-Arlington,TX,1216,4.108
2010-10,2010,Texas City,Houston-The Woodlands-Sugar Land,TX,1254,4.167
2010-10,2010,Keller,Dallas-Fort Worth-Arlington,TX,1272,3.228
2010-10,2010,Coppell,Dallas-Fort Worth-Arlington,TX,1275,2.958
2010-10,2010,Lancaster,Dallas-Fort Worth-Arlington,TX,1322,7.07
2010-10,2010,Cleburne,Dallas-Fort Worth-Arlington,TX,1349,7.7
2010-10,2010,Kerrville,Kerrville,TX,1352,5.062
2010-10,2010,Burleson,Dallas-Fort Worth-Arlington,TX,1360,3.706
2010-10,2010,Belton,Killeen-Temple,TX,1371,4.415
2010-10,2010,Montgomery,Houston-The Woodlands-Sugar Land,TX,1373,3.833
2010-10,2010,Duncanville,Dallas-Fort Worth-Arlington,TX,1392,6.252
2010-10,2010,Palestine,Palestine,TX,1402,7.924
2010-10,2010,Boerne,San Antonio-New Braunfels,TX,1416,4.65
2010-10,2010,Hurst,Dallas-Fort Worth-Arlington,TX,1418,4.095
2010-10,2010,Friendswood,Houston-The Woodlands-Sugar Land,TX,1427,4.166
2010-10,2010,Copperas Cove,Killeen-Temple,TX,1441,3.891
2010-10,2010,Converse,San Antonio-New Braunfels,TX,1448,4.761
2010-10,2010,Rockwall,Dallas-Fort Worth-Arlington,TX,1501,3.017
2010-10,2010,Greenville,Dallas-Fort Worth-Arlington,TX,1537,8.273
2010-10,2010,Paris,Paris,TX,1558,7.836
2010-10,2010,Big Spring,Big Spring,TX,1561,4.559
2010-10,2010,Leander,Austin-Round Rock,TX,1566,2.599
2010-10,2010,La Porte,Houston-The Woodlands-Sugar Land,TX,1668,4.681
2010-10,2010,Deer Park,Houston-The Woodlands-Sugar Land,TX,1679,4.087
2010-10,2010,Lufkin,Lufkin,TX,1721,4.88
2010-10,2010,Cibolo,San Antonio-New Braunfels,TX,1728,3.062
2010-10,2010,Terrell,Dallas-Fort Worth-Arlington,TX,1730,3.766
2010-10,2010,Porter,Houston-The Woodlands-Sugar Land,TX,1733,3.688
2010-10,2010,Kyle,Austin-Round Rock,TX,1765,2.719
2010-10,2010,Midlothian,Dallas-Fort Worth-Arlington,TX,1771,3.543
2010-10,2010,Southlake,Dallas-Fort Worth-Arlington,TX,1791,3.509
2010-10,2010,Willis,Houston-The Woodlands-Sugar Land,TX,1799,4.858
2010-10,2010,Rosenberg,Houston-The Woodlands-Sugar Land,TX,1828,4.427
2010-10,2010,Schertz,San Antonio-New Braunfels,TX,1831,3.336
2010-10,2010,Stephenville,Stephenville,TX,1908,5.185
2010-10,2010,Harker Heights,Killeen-Temple,TX,1914,3.126
2010-10,2010,Hutto,Austin-Round Rock,TX,1918,4.045
2010-10,2010,Brenham,Brenham,TX,1924,5.731
2010-10,2010,Lake Jackson,Houston-The Woodlands-Sugar Land,TX,1935,3.336
2010-10,2010,Crosby,Houston-The Woodlands-Sugar Land,TX,2007,3.374
2010-10,2010,Colleyville,Dallas-Fort Worth-Arlington,TX,2080,2.877
2010-10,2010,Bastrop,Austin-Round Rock,TX,2123,2.963
2010-10,2010,Athens,Athens,TX,2164,5.858
2010-10,2010,University Park,Dallas-Fort Worth-Arlington,TX,2166,4.003
2010-10,2010,Azle,Dallas-Fort Worth-Arlington,TX,2179,5.063
2010-10,2010,Alvin,Houston-The Woodlands-Sugar Land,TX,2307,3.448
2010-10,2010,Fredericksburg,Fredericksburg,TX,2310,4.847
2010-10,2010,Benbrook,Dallas-Fort Worth-Arlington,TX,2316,4.28
2010-10,2010,Royse City,Dallas-Fort Worth-Arlington,TX,2375,4.205
2010-10,2010,Helotes,San Antonio-New Braunfels,TX,2392,3.974
2010-10,2010,Floresville,San Antonio-New Braunfels,TX,2409,5.682
2010-10,2010,Nederland,Beaumont-Port Arthur,TX,2493,4.113
2010-10,2010,Corinth,Dallas-Fort Worth-Arlington,TX,2503,2.786
2010-10,2010,Sachse,Dallas-Fort Worth-Arlington,TX,2505,3.654
2010-10,2010,Forney,Dallas-Fort Worth-Arlington,TX,2560,5
2010-10,2010,Manvel,Houston-The Woodlands-Sugar Land,TX,2658,3.992
2010-10,2010,Bellaire,Houston-The Woodlands-Sugar Land,TX,2715,3.31
2010-10,2010,Buda,Austin-Round Rock,TX,2762,2.484
2010-10,2010,Marble Falls,NA,TX,2826,4.375
2010-10,2010,Lumberton,Beaumont-Port Arthur,TX,2838,3.922
2010-10,2010,Dickinson,Houston-The Woodlands-Sugar Land,TX,2842,5.003
2010-10,2010,Portland,Corpus Christi,TX,2876,3.698
