YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2010-11,2010,Floresville,San Antonio-New Braunfels,TX,2409,6.567
2010-11,2010,Manvel,Houston-The Woodlands-Sugar Land,TX,2658,5.559
2010-11,2010,Bellaire,Houston-The Woodlands-Sugar Land,TX,2715,3.189
2010-11,2010,Dickinson,Houston-The Woodlands-Sugar Land,TX,2842,4.987
2010-11,2010,Angleton,Houston-The Woodlands-Sugar Land,TX,2883,3.405
2010-11,2010,Spring Branch,San Antonio-New Braunfels,TX,2922,7.001
2010-11,2010,La Marque,Houston-The Woodlands-Sugar Land,TX,2945,6.992
2010-11,2010,Pecan Grove,Houston-The Woodlands-Sugar Land,TX,3019,3.107
2010-11,2010,Canyon Lake,San Antonio-New Braunfels,TX,3113,5.664
2010-11,2010,Timberwood Park,San Antonio-New Braunfels,TX,3224,2.539
2010-11,2010,Seabrook,Houston-The Woodlands-Sugar Land,TX,3256,3.16
2010-11,2010,Sienna Plantation,Houston-The Woodlands-Sugar Land,TX,3418,3.638
2010-11,2010,Fulshear,Houston-The Woodlands-Sugar Land,TX,3683,3.505
2010-11,2010,Fair Oaks Ranch,San Antonio-New Braunfels,TX,3766,5.141
2010-12,2010,Houston,Houston-The Woodlands-Sugar Land,TX,3,4.762
2010-12,2010,San Antonio,San Antonio-New Braunfels,TX,5,4.063
2010-12,2010,Spring,Houston-The Woodlands-Sugar Land,TX,113,3.742
2010-12,2010,Sugar Land,Houston-The Woodlands-Sugar Land,TX,191,3.574
2010-12,2010,Cypress,Houston-The Woodlands-Sugar Land,TX,213,3.096
2010-12,2010,Conroe,Houston-The Woodlands-Sugar Land,TX,222,4.31
2010-12,2010,Pasadena,Houston-The Woodlands-Sugar Land,TX,227,5.315
2010-12,2010,Pearland,Houston-The Woodlands-Sugar Land,TX,277,3.456
2010-12,2010,The Woodlands,Houston-The Woodlands-Sugar Land,TX,379,3.115
2010-12,2010,League City,Houston-The Woodlands-Sugar Land,TX,403,3.705
2010-12,2010,New Braunfels,San Antonio-New Braunfels,TX,430,5.232
2010-12,2010,Missouri City,Houston-The Woodlands-Sugar Land,TX,595,4.167
2010-12,2010,Richmond,Houston-The Woodlands-Sugar Land,TX,600,3.894
2010-12,2010,Tomball,Houston-The Woodlands-Sugar Land,TX,606,3.451
2010-12,2010,Atascocita,Houston-The Woodlands-Sugar Land,TX,639,4.167
2010-12,2010,Baytown,Houston-The Woodlands-Sugar Land,TX,653,6.133
2010-12,2010,Galveston,Houston-The Woodlands-Sugar Land,TX,1090,5.957
2010-12,2010,Katy,Houston-The Woodlands-Sugar Land,TX,1167,3.646
2010-12,2010,Seguin,San Antonio-New Braunfels,TX,1172,5.302
2010-12,2010,Texas City,Houston-The Woodlands-Sugar Land,TX,1254,6.76
2010-12,2010,Montgomery,Houston-The Woodlands-Sugar Land,TX,1373,4.952
2010-12,2010,Boerne,San Antonio-New Braunfels,TX,1416,3.344
2010-12,2010,Friendswood,Houston-The Woodlands-Sugar Land,TX,1427,3.759
2010-12,2010,Converse,San Antonio-New Braunfels,TX,1448,4.981
2010-12,2010,La Porte,Houston-The Woodlands-Sugar Land,TX,1668,4.444
2010-12,2010,Deer Park,Houston-The Woodlands-Sugar Land,TX,1679,4
2010-12,2010,Cibolo,San Antonio-New Braunfels,TX,1728,2.804
2010-12,2010,Porter,Houston-The Woodlands-Sugar Land,TX,1733,3.196
2010-12,2010,Willis,Houston-The Woodlands-Sugar Land,TX,1799,5.089
2010-12,2010,Rosenberg,Houston-The Woodlands-Sugar Land,TX,1828,5.034
2010-12,2010,Schertz,San Antonio-New Braunfels,TX,1831,5.319
2010-12,2010,Lake Jackson,Houston-The Woodlands-Sugar Land,TX,1935,3.107
2010-12,2010,Crosby,Houston-The Woodlands-Sugar Land,TX,2007,4.839
2010-12,2010,Alvin,Houston-The Woodlands-Sugar Land,TX,2307,5.84
2010-12,2010,Helotes,San Antonio-New Braunfels,TX,2392,3.335
2010-12,2010,Floresville,San Antonio-New Braunfels,TX,2409,4.475
2010-12,2010,Manvel,Houston-The Woodlands-Sugar Land,TX,2658,3.813
2010-12,2010,Bellaire,Houston-The Woodlands-Sugar Land,TX,2715,3.318
2010-12,2010,Dickinson,Houston-The Woodlands-Sugar Land,TX,2842,4.7
2010-12,2010,Angleton,Houston-The Woodlands-Sugar Land,TX,2883,3.333
2010-12,2010,Spring Branch,San Antonio-New Braunfels,TX,2922,6.854
2010-12,2010,La Marque,Houston-The Woodlands-Sugar Land,TX,2945,7.016
2010-12,2010,Pecan Grove,Houston-The Woodlands-Sugar Land,TX,3019,3.107
2010-12,2010,Canyon Lake,San Antonio-New Braunfels,TX,3113,9.05
2010-12,2010,Timberwood Park,San Antonio-New Braunfels,TX,3224,3.347
2010-12,2010,Seabrook,Houston-The Woodlands-Sugar Land,TX,3256,3.394
2010-12,2010,Sienna Plantation,Houston-The Woodlands-Sugar Land,TX,3418,2.846
2010-12,2010,Fulshear,Houston-The Woodlands-Sugar Land,TX,3683,3.403
2010-12,2010,Fair Oaks Ranch,San Antonio-New Braunfels,TX,3766,4.416
2011-01,2011,Houston,Houston-The Woodlands-Sugar Land,TX,3,4.55
2011-01,2011,San Antonio,San Antonio-New Braunfels,TX,5,3.846
2011-01,2011,Spring,Houston-The Woodlands-Sugar Land,TX,113,3.966
2011-01,2011,Sugar Land,Houston-The Woodlands-Sugar Land,TX,191,2.934
2011-01,2011,Cypress,Houston-The Woodlands-Sugar Land,TX,213,3.757
2011-01,2011,Conroe,Houston-The Woodlands-Sugar Land,TX,222,3.227
2011-01,2011,Pasadena,Houston-The Woodlands-Sugar Land,TX,227,4.847
2011-01,2011,Pearland,Houston-The Woodlands-Sugar Land,TX,277,3.705
2011-01,2011,The Woodlands,Houston-The Woodlands-Sugar Land,TX,379,2.899
2011-01,2011,League City,Houston-The Woodlands-Sugar Land,TX,403,3.45
2011-01,2011,New Braunfels,San Antonio-New Braunfels,TX,430,3.103
2011-01,2011,Missouri City,Houston-The Woodlands-Sugar Land,TX,595,5.348
2011-01,2011,Richmond,Houston-The Woodlands-Sugar Land,TX,600,3.684
2011-01,2011,Tomball,Houston-The Woodlands-Sugar Land,TX,606,4.003
2011-01,2011,Atascocita,Houston-The Woodlands-Sugar Land,TX,639,3.769
2011-01,2011,Baytown,Houston-The Woodlands-Sugar Land,TX,653,7.118
2011-01,2011,Galveston,Houston-The Woodlands-Sugar Land,TX,1090,5.889
2011-01,2011,Katy,Houston-The Woodlands-Sugar Land,TX,1167,3.937
2011-01,2011,Seguin,San Antonio-New Braunfels,TX,1172,5.769
2011-01,2011,Texas City,Houston-The Woodlands-Sugar Land,TX,1254,4.211
2011-01,2011,Montgomery,Houston-The Woodlands-Sugar Land,TX,1373,4.86
2011-01,2011,Boerne,San Antonio-New Braunfels,TX,1416,3.657
2011-01,2011,Friendswood,Houston-The Woodlands-Sugar Land,TX,1427,3.9
2011-01,2011,Converse,San Antonio-New Braunfels,TX,1448,2.879
2011-01,2011,La Porte,Houston-The Woodlands-Sugar Land,TX,1668,4.277
2011-01,2011,Deer Park,Houston-The Woodlands-Sugar Land,TX,1679,3.797
2011-01,2011,Cibolo,San Antonio-New Braunfels,TX,1728,2.326
2011-01,2011,Porter,Houston-The Woodlands-Sugar Land,TX,1733,2.116
2011-01,2011,Willis,Houston-The Woodlands-Sugar Land,TX,1799,4.849
