SizeRank,Date,City,Value
2073,1/1/06,Dallas,89600
2150,1/1/06,Dallas,366700
2201,1/1/06,Austin,127000
2258,1/1/06,Dallas,850200
2273,1/1/06,Dallas,117600
2289,1/1/06,Dallas,125000
2373,1/1/06,Dallas,101000
2425,1/1/06,Houston,112500
2434,1/1/06,Dallas,126300
2503,1/1/06,Austin,142300
2505,1/1/06,Dallas,157300
2534,1/1/06,San Antonio,181400
2554,1/1/06,San Antonio,148100
2675,1/1/06,Dallas,166500
2676,1/1/06,Dallas,189400
2707,1/1/06,San Antonio,130500
2715,1/1/06,Houston,143200
2756,1/1/06,Dallas,152700
2836,1/1/06,Austin,100700
2886,1/1/06,Houston,253100
2896,1/1/06,Houston,200400
2898,1/1/06,Austin,107000
2978,1/1/06,Dallas,252500
2980,1/1/06,Houston,570600
3002,1/1/06,Dallas,151300
3056,1/1/06,Austin,171400
3071,1/1/06,Houston,91200
3152,1/1/06,Houston,156200
3160,1/1/06,Houston,140800
3189,1/1/06,Houston,124400
3236,1/1/06,Dallas,83600
3237,1/1/06,Dallas,132300
3256,1/1/06,Corpus Christi,142400
3265,1/1/06,Houston,95000
3332,1/1/06,San Antonio,283000
3348,1/1/06,Austin,278200
3381,1/1/06,Houston,86800
3403,1/1/06,Dallas,233100
3446,1/1/06,Dallas,144300
3470,1/1/06,Houston,95100
3483,1/1/06,Corpus Christi,148300
3517,1/1/06,Houston,171800
3561,1/1/06,San Antonio,109200
3563,1/1/06,Dallas,152200
3599,1/1/06,Dallas,238300
3614,1/1/06,Dallas,97500
3701,1/1/06,El Paso,106000
3714,1/1/06,Dallas,158600
3717,1/1/06,San Antonio,155400
3786,1/1/06,Houston,110700
3805,1/1/06,Dallas,152900
3813,1/1/06,Rio Grande City,71600
3815,1/1/06,Dallas,140300
3856,1/1/06,Austin,205100
3886,1/1/06,Houston,
3946,1/1/06,Dallas,126100
3962,1/1/06,San Antonio,262800
4017,1/1/06,Austin,126200
4043,1/1/06,Dallas,86700
4059,1/1/06,San Antonio,118300
4066,1/1/06,Houston,198200
4214,1/1/06,Houston,159900
4316,1/1/06,Austin,197100
4444,1/1/06,Houston,141100
4452,1/1/06,Houston,97300
4530,1/1/06,San Antonio,261800
4556,1/1/06,Dallas,70300
4590,1/1/06,Houston,275400
4631,1/1/06,Houston,133200
4689,1/1/06,Houston,82600
4720,1/1/06,Austin,332300
4760,1/1/06,Dallas,135700
4779,1/1/06,Houston,77700
4886,1/1/06,San Antonio,163500
4991,1/1/06,Houston,184500
5064,1/1/06,San Antonio,159900
5133,1/1/06,Dallas,1069400
5139,1/1/06,Austin,159900
5144,1/1/06,Dallas,424000
5181,1/1/06,Austin,358800
5182,1/1/06,Dallas,105000
5209,1/1/06,Corpus Christi,86100
5219,1/1/06,Austin,86700
5243,1/1/06,San Antonio,150100
5339,1/1/06,Dallas,76600
5355,1/1/06,Dallas,293100
5407,1/1/06,Dallas,172500
5643,1/1/06,San Antonio,377900
5667,1/1/06,San Antonio,150200
5932,1/1/06,Rio Grande City,64500
5933,1/1/06,Dallas,286100
6008,1/1/06,Dallas,137900
6067,1/1/06,Dallas,373500
6073,1/1/06,Corpus Christi,104000
6086,1/1/06,Houston,92600
6091,1/1/06,Dallas,267500
6093,1/1/06,San Antonio,79900
6140,1/1/06,Houston,91000
6193,1/1/06,Houston,292400
6244,1/1/06,Dallas,84400
6252,1/1/06,Dallas,292500
6285,1/1/06,Dallas,166200
6416,1/1/06,Austin,430200
