Pivot1 Names,RegionName,SizeRank,Pivot1 Values
2010-07,"Columbia, SC",44,
2010-07,"Stockton, CA",45,
2010-07,"Colorado Springs, CO",46,
2010-07,"Wichita, KS",47,
2010-07,"Ogden, UT",48,
2010-07,"Augusta, GA",49,
2010-07,"Spokane, WA",50,
2010-07,"Anchorage, AK",51,
2010-07,"Glenwood Springs, CO",52,
2010-08,United States,0,
2010-08,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-08,"Dallas-Fort Worth, TX",2,
2010-08,"Houston, TX",3,
2010-08,"Washington, DC",4,3750
2010-08,"Miami-Fort Lauderdale, FL",5,
2010-08,"Atlanta, GA",6,
2010-08,"Boston, MA",7,
2010-08,"San Francisco, CA",8,
2010-08,"Riverside, CA",9,2550
2010-08,"Seattle, WA",10,
2010-08,"Minneapolis-St Paul, MN",11,
2010-08,"San Diego, CA",12,
2010-08,"Tampa, FL",13,
2010-08,"Denver, CO",14,
2010-08,"Pittsburgh, PA",15,
2010-08,"Portland, OR",16,
2010-08,"Charlotte, NC",17,1995
2010-08,"Sacramento, CA",18,
2010-08,"San Antonio, TX",19,
2010-08,"Orlando, FL",20,
2010-08,"Cleveland, OH",21,
2010-08,"Kansas City, MO",22,
2010-08,"Las Vegas, NV",23,2198
2010-08,"San Jose, CA",24,
2010-08,"Austin, TX",25,
2010-08,"Virginia Beach, VA",26,
2010-08,"Nashville, TN",27,
2010-08,"Providence, RI",28,
2010-08,"Milwaukee, WI",29,
2010-08,"Jacksonville, FL",30,
2010-08,"Memphis, TN",31,
2010-08,"Oklahoma City, OK",32,
2010-08,"Hartford, CT",33,
2010-08,"Richmond, VA",34,
2010-08,"Buffalo, NY",35,
2010-08,"Salt Lake City, UT",36,
2010-08,"Rochester, NY",37,
2010-08,"Urban Honolulu, HI",38,
2010-08,"Worcester, MA",39,
2010-08,"Albany, NY",40,
2010-08,"New Haven, CT",41,1100
2010-08,"Ventura, CA",42,
2010-08,"Allentown, PA",43,
2010-08,"Columbia, SC",44,
2010-08,"Stockton, CA",45,
2010-08,"Colorado Springs, CO",46,
2010-08,"Wichita, KS",47,
2010-08,"Ogden, UT",48,
2010-08,"Augusta, GA",49,
2010-08,"Spokane, WA",50,
2010-08,"Anchorage, AK",51,
2010-08,"Glenwood Springs, CO",52,
2010-09,United States,0,
2010-09,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-09,"Dallas-Fort Worth, TX",2,
2010-09,"Houston, TX",3,
2010-09,"Washington, DC",4,3425
2010-09,"Miami-Fort Lauderdale, FL",5,
2010-09,"Atlanta, GA",6,
2010-09,"Boston, MA",7,
2010-09,"San Francisco, CA",8,
2010-09,"Riverside, CA",9,2500
2010-09,"Seattle, WA",10,
2010-09,"Minneapolis-St Paul, MN",11,
2010-09,"San Diego, CA",12,
2010-09,"Tampa, FL",13,
2010-09,"Denver, CO",14,
2010-09,"Pittsburgh, PA",15,
2010-09,"Portland, OR",16,
2010-09,"Charlotte, NC",17,2000
2010-09,"Sacramento, CA",18,
2010-09,"San Antonio, TX",19,
2010-09,"Orlando, FL",20,
2010-09,"Cleveland, OH",21,
2010-09,"Kansas City, MO",22,
2010-09,"Las Vegas, NV",23,1995
2010-09,"San Jose, CA",24,
2010-09,"Austin, TX",25,
2010-09,"Virginia Beach, VA",26,
2010-09,"Nashville, TN",27,
2010-09,"Providence, RI",28,
2010-09,"Milwaukee, WI",29,
2010-09,"Jacksonville, FL",30,
2010-09,"Memphis, TN",31,
2010-09,"Oklahoma City, OK",32,
2010-09,"Hartford, CT",33,
2010-09,"Richmond, VA",34,
2010-09,"Buffalo, NY",35,
2010-09,"Salt Lake City, UT",36,
2010-09,"Rochester, NY",37,
2010-09,"Urban Honolulu, HI",38,
2010-09,"Worcester, MA",39,
2010-09,"Albany, NY",40,
2010-09,"New Haven, CT",41,1050
2010-09,"Ventura, CA",42,
2010-09,"Allentown, PA",43,
2010-09,"Columbia, SC",44,
2010-09,"Stockton, CA",45,
2010-09,"Colorado Springs, CO",46,
2010-09,"Wichita, KS",47,
2010-09,"Ogden, UT",48,
2010-09,"Augusta, GA",49,
2010-09,"Spokane, WA",50,
2010-09,"Anchorage, AK",51,
2010-09,"Glenwood Springs, CO",52,
2010-10,United States,0,
2010-10,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-10,"Dallas-Fort Worth, TX",2,
2010-10,"Houston, TX",3,
2010-10,"Washington, DC",4,3600
2010-10,"Miami-Fort Lauderdale, FL",5,
2010-10,"Atlanta, GA",6,
2010-10,"Boston, MA",7,
2010-10,"San Francisco, CA",8,
2010-10,"Riverside, CA",9,2700
2010-10,"Seattle, WA",10,
2010-10,"Minneapolis-St Paul, MN",11,
2010-10,"San Diego, CA",12,
2010-10,"Tampa, FL",13,
2010-10,"Denver, CO",14,
