Date,PriceCut,RegionID,RegionName,SizeRank
2010-10,15.449849157,395209,"Washington, DC",7
2010-10,11.344015860,394856,"Miami-Fort Lauderdale, FL",8
2010-10,13.970768041,394347,"Atlanta, GA",9
2010-10,16.165252641,394404,"Boston, MA",10
2010-10,13.325813675,395057,"San Francisco, CA",11
2010-10,11.471075566,394532,"Detroit, MI",12
2010-10,11.711911703,395025,"Riverside, CA",13
2010-10,22.849556466,394976,"Phoenix, AZ",14
2010-10,17.850769157,395078,"Seattle, WA",15
2010-10,20.448919549,394865,"Minneapolis-St Paul, MN",16
2010-10,14.973496276,395056,"San Diego, CA",17
2010-10,17.659532636,395121,"St. Louis, MO",18
2010-10,15.194023578,395148,"Tampa, FL",19
2010-10,17.118082547,394358,"Baltimore, MD",20
2010-10,19.263256908,394530,"Denver, CO",21
2010-10,11.724915044,394982,"Pittsburgh, PA",22
2010-10,18.598259206,394998,"Portland, OR",23
2010-10,13.749434436,394458,"Charlotte, NC",24
2010-10,13.696495999,395045,"Sacramento, CA",25
2010-10,13.172620135,395055,"San Antonio, TX",26
2010-10,11.549057400,394943,"Orlando, FL",27
2010-10,15.157824833,394466,"Cincinnati, OH",28
2010-10,13.518118052,394475,"Cleveland, OH",29
2010-10,15.277673858,394735,"Kansas City, MO",30
2010-10,11.405846678,394775,"Las Vegas, NV",31
2010-10,14.893740828,394492,"Columbus, OH",32
2010-10,10.670172104,394705,"Indianapolis, IN",33
2010-10,13.411957585,395059,"San Jose, CA",34
2010-10,15.676425349,394355,"Austin, TX",35
2010-10,18.521808035,395194,"Virginia Beach, VA",36
2010-10,15.714569553,394902,"Nashville, TN",37
2010-10,15.957242825,395005,"Providence, RI",38
2010-10,17.632724592,394862,"Milwaukee, WI",39
2010-10,16.949288458,394714,"Jacksonville, FL",40
2010-10,10.924540466,394849,"Memphis, TN",41
2010-10,14.068567368,394935,"Oklahoma City, OK",42
2010-10,13.040673751,394807,"Louisville-Jefferson County, KY",43
2010-10,15.592690168,394669,"Hartford, CT",44
2010-10,15.159084978,395022,"Richmond, VA",45
2010-10,9.121201546,394910,"New Orleans, LA",46
2010-10,16.411632378,394425,"Buffalo, NY",47
2010-10,13.131694196,395012,"Raleigh, NC",48
2010-10,17.986644501,394388,"Birmingham, AL",49
2010-10,18.117830433,395053,"Salt Lake City, UT",50
2010-10,11.274200629,395031,"Rochester, NY",51
2010-10,14.628539916,394640,"Grand Rapids, MI",52
2010-10,23.031074738,395167,"Tucson, AZ",53
2010-10,9.258015829,753924,"Urban Honolulu, HI",54
