Date,ZHVI,RegionID,RegionName,SizeRank
1997-01,49800,8,Arizona,16
1997-01,53300,53,Tennessee,17
1997-01,50000,32,Missouri,18
1997-01,75100,60,Wisconsin,19
1997-01,54000,31,Minnesota,20
1997-01,72900,10,Colorado,21
1997-01,46700,4,Alabama,22
1997-01,75600,51,South Carolina,23
1997-01,,25,Louisiana,24
1997-01,45900,24,Kentucky,25
1997-01,83900,46,Oregon,26
1997-01,17800,45,Oklahoma,27
1997-01,56200,11,Connecticut,28
1997-01,35600,19,Iowa,29
1997-01,43800,34,Mississippi,30
1997-01,49600,6,Arkansas,31
1997-01,28200,23,Kansas,32
1997-01,96700,55,Utah,33
1997-01,67200,42,Nevada,34
1997-01,97500,41,New Mexico,35
1997-01,24300,61,West Virginia,36
1997-01,50800,38,Nebraska,37
1997-01,62600,20,Idaho,38
1997-01,150600,18,Hawaii,39
1997-01,54200,28,Maine,40
1997-01,54700,39,New Hampshire,41
1997-01,74000,50,Rhode Island,42
1997-01,121800,35,Montana,43
1997-01,42100,52,South Dakota,44
1997-01,68800,3,Alaska,45
1997-01,,37,North Dakota,46
1997-01,91000,12,District of Columbia,47
1997-01,117900,62,Wyoming,48
1997-02,92400,9,California,1
1997-02,45900,54,Texas,2
1997-02,59700,43,New York,3
1997-02,42500,14,Florida,4
1997-02,59200,21,Illinois,5
1997-02,51700,47,Pennsylvania,6
1997-02,47900,44,Ohio,7
1997-02,62900,30,Michigan,8
1997-02,65200,16,Georgia,9
1997-02,49400,36,North Carolina,10
1997-02,88600,40,New Jersey,11
1997-02,74800,56,Virginia,12
1997-02,88200,59,Washington,13
1997-02,82300,26,Massachusetts,14
1997-02,53600,22,Indiana,15
1997-02,50100,8,Arizona,16
1997-02,53100,53,Tennessee,17
1997-02,49600,32,Missouri,18
1997-02,75300,60,Wisconsin,19
1997-02,54100,31,Minnesota,20
1997-02,73400,10,Colorado,21
1997-02,46900,4,Alabama,22
1997-02,76700,51,South Carolina,23
1997-02,,25,Louisiana,24
1997-02,46200,24,Kentucky,25
1997-02,84700,46,Oregon,26
1997-02,17700,45,Oklahoma,27
1997-02,56200,11,Connecticut,28
1997-02,35600,19,Iowa,29
1997-02,43700,34,Mississippi,30
1997-02,49500,6,Arkansas,31
1997-02,28100,23,Kansas,32
1997-02,96800,55,Utah,33
1997-02,67400,42,Nevada,34
1997-02,98000,41,New Mexico,35
1997-02,24500,61,West Virginia,36
1997-02,50400,38,Nebraska,37
1997-02,63200,20,Idaho,38
1997-02,149600,18,Hawaii,39
1997-02,54400,28,Maine,40
1997-02,54900,39,New Hampshire,41
1997-02,73800,50,Rhode Island,42
1997-02,121600,35,Montana,43
1997-02,42500,52,South Dakota,44
1997-02,69300,3,Alaska,45
1997-02,,37,North Dakota,46
1997-02,91100,12,District of Columbia,47
1997-02,117900,62,Wyoming,48
1997-03,92300,9,California,1
1997-03,45700,54,Texas,2
1997-03,59500,43,New York,3
1997-03,42500,14,Florida,4
1997-03,58900,21,Illinois,5
1997-03,51800,47,Pennsylvania,6
1997-03,48000,44,Ohio,7
1997-03,63200,30,Michigan,8
1997-03,65800,16,Georgia,9
1997-03,49600,36,North Carolina,10
1997-03,88900,40,New Jersey,11
1997-03,74600,56,Virginia,12
1997-03,89000,59,Washington,13
1997-03,82800,26,Massachusetts,14
1997-03,53100,22,Indiana,15
1997-03,50200,8,Arizona,16
1997-03,52900,53,Tennessee,17
1997-03,49100,32,Missouri,18
1997-03,75400,60,Wisconsin,19
1997-03,54200,31,Minnesota,20
1997-03,73800,10,Colorado,21
1997-03,47100,4,Alabama,22
1997-03,77800,51,South Carolina,23
1997-03,,25,Louisiana,24
1997-03,46400,24,Kentucky,25
1997-03,85400,46,Oregon,26
1997-03,17500,45,Oklahoma,27
1997-03,56100,11,Connecticut,28
1997-03,35700,19,Iowa,29
1997-03,43700,34,Mississippi,30
1997-03,49300,6,Arkansas,31
1997-03,28000,23,Kansas,32
1997-03,96900,55,Utah,33
1997-03,67600,42,Nevada,34
1997-03,98700,41,New Mexico,35
1997-03,24600,61,West Virginia,36
