Date,ZHVI,RegionID,RegionName,SizeRank
1996-06,84500,14,Florida,4
1996-06,116100,21,Illinois,5
1996-06,76800,47,Pennsylvania,6
1996-06,83300,44,Ohio,7
1996-06,77300,30,Michigan,8
1996-06,87900,16,Georgia,9
1996-06,88500,36,North Carolina,10
1996-06,142900,40,New Jersey,11
1996-06,106600,56,Virginia,12
1996-06,136400,59,Washington,13
1996-06,138100,26,Massachusetts,14
1996-06,90800,22,Indiana,15
1996-06,101400,8,Arizona,16
1996-06,70300,53,Tennessee,17
1996-06,82600,32,Missouri,18
1996-06,128800,27,Maryland,19
1996-06,109000,60,Wisconsin,20
1996-06,87700,31,Minnesota,21
1996-06,126800,10,Colorado,22
1996-06,77400,4,Alabama,23
1996-06,72300,51,South Carolina,24
1996-06,67400,25,Louisiana,25
1996-06,70500,24,Kentucky,26
1996-06,124500,46,Oregon,27
1996-06,61100,45,Oklahoma,28
1996-06,131300,11,Connecticut,29
1996-06,62300,19,Iowa,30
1996-06,71100,34,Mississippi,31
1996-06,61300,6,Arkansas,32
1996-06,64600,23,Kansas,33
1996-06,146600,55,Utah,34
1996-06,129400,42,Nevada,35
1996-06,113400,41,New Mexico,36
1996-06,49100,61,West Virginia,37
1996-06,73500,38,Nebraska,38
1996-06,99800,20,Idaho,39
1996-06,215100,18,Hawaii,40
1996-06,85100,28,Maine,41
1996-06,99500,39,New Hampshire,42
1996-06,115700,50,Rhode Island,43
1996-06,134400,35,Montana,44
1996-06,106500,13,Delaware,45
1996-06,41100,52,South Dakota,46
1996-06,119400,3,Alaska,47
1996-06,,37,North Dakota,48
1996-06,88200,58,Vermont,49
1996-06,111400,12,District of Columbia,50
1996-06,127700,62,Wyoming,51
1996-07,162000,9,California,1
1996-07,93200,54,Texas,2
1996-07,122800,43,New York,3
1996-07,84600,14,Florida,4
1996-07,116300,21,Illinois,5
1996-07,76700,47,Pennsylvania,6
1996-07,83600,44,Ohio,7
1996-07,78000,30,Michigan,8
1996-07,88500,16,Georgia,9
1996-07,88700,36,North Carolina,10
1996-07,142700,40,New Jersey,11
1996-07,106700,56,Virginia,12
1996-07,136800,59,Washington,13
1996-07,138300,26,Massachusetts,14
1996-07,89500,22,Indiana,15
1996-07,101900,8,Arizona,16
1996-07,70900,53,Tennessee,17
1996-07,82700,32,Missouri,18
1996-07,128800,27,Maryland,19
1996-07,108200,60,Wisconsin,20
1996-07,88300,31,Minnesota,21
1996-07,126900,10,Colorado,22
1996-07,78000,4,Alabama,23
1996-07,72700,51,South Carolina,24
1996-07,67700,25,Louisiana,25
1996-07,70800,24,Kentucky,26
1996-07,125100,46,Oregon,27
1996-07,61200,45,Oklahoma,28
1996-07,131600,11,Connecticut,29
