"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"New Jersey",11,329900,329900,339000,334999,334900,330000,329000,325000,320000,319000,315000,304999,299900,299500,299900,299900,299900,299900,299000,299000,295000,289999,285000,279900,279000,279900,288000,285900,289000,285000,279900,279000,279900,275000,274900,269900,269000,274900,279000,285000,290000,289999,289900,287925,285000,280000,279000,275000,272500,275000,285000,295000,299000,299500,299000,297000,298000,294900,289500,280000,279900,280000,289000,299000,299500,299900,314900,3e+05,3e+05,299900,299000,289000,284500,289000,299000,309000,315000,318000,314900,301900,3e+05,299900,299000,287900,284999,289744,299000,305000,314900,315587.5,315000,309000,309900,305000,299900,297995,290000,299900,309900,324900,329000,335000,334900,329500,329900,329900,327000,319900,319000,317900,329000,339000,340000,349000,345000
"Virginia",12,243000,240000,244900,245000,245000,244900,239900,239000,239500,237500,235000,229000,225000,224900,229900,230000,235900,239000,235000,235000,233250,230000,229000,224900,224990,226000,230000,234900,238000,239000,235000,231000,229900,229888,229000,225000,225000,229900,237900,247000,249900,249900,249500,246800,245000,240599,239500,236990,237900,239000,249000,259000,265000,268000,265900,265000,264950,259990,259700,250000,249900,258900,265000,275000,279900,279990,274900,275000,275000,275000,270000,269900,265950,259990,279000,289900,293500,291000,289500,284900,282990,279900,279000,274900,270000,279000,289900,299900,300990,302990,299900,299000,299000,299900,299000,289900,289900,295000,299990,313245,315000,315000,310000,304999,305000,303586,299990,299000,294900,299900,312900,320000,320000,320000,315000
"Washington",13,279950,279500,279900,278900,279000,279000,275000,275000,269950,266000,260000,254000,249800,245000,244950,239900,239900,239950,239950,239900,239888,234900,229000,224950,223950,225000,229900,235000,239900,244900,244950,244950,240000,240000,239900,235000,234990,239500,244900,249900,259000,260000,265000,264950,265994.5,265950,259950,258900,252789,258275,264995,269950,275000,280000,283000,284900,284500,279900,275000,270000,269950,274900,279900,289000,294950,296900,295000,299000,299000,299000,297000,294900,291900,294500,299000,3e+05,314000,319900,320000,319950,319950,324500,319950,319000,319900,325000,335000,344900,350000,357950,359000,354950,359000,359000,358775,351970,349950,363900,375000,384900,390000,397990,395000,394950,398500,399000,398000,396000,397225,399900,415000,420000,425000,425000,424000
"Massachusetts",14,334900,334900,334900,334900,334900,330000,329900,329000,325000,323500,319670,304900,299900,299900,309900,311950,319900,324900,319000,315000,317500,313900,299900,299000,299900,299900,315000,324900,325000,325000,319900,319000,320000,319900,324000,319000,315000,325000,329900,339900,349000,349900,349000,339900,339900,340000,339900,339000,334900,344900,349000,349900,359000,354900,349900,349000,349000,349900,349900,344900,339900,344900,349900,359000,362500,367000,359900,359000,359900,359900,359900,350000,350000,359900,379000,389900,395000,399000,389900,388000,389900,399000,397500,389000,388000,399000,414900,425000,429000,429900,425000,419900,424900,424900,420000,419000,419000,424900,435000,449000,450000,450000,449000,439000,444900,440000,439900,439000,435000,439900,455000,474900,479900,479900,474500
"Indiana",15,129900,129900,129900,129900,130000,132500,129900,129900,129900,129900,129900,126850,125000,127900,129500,129900,129900,130000,130000,129900,129900,129900,129000,125000,124990,124900,125000,126900,127900,128500,128000,125000,124900,124900,124500,122500,120000,124500,127500,129900,129990,132000,130000,129900,129900,129900,129000,125000,124990,126900,130000,134900,139000,139900,139900,139500,137900,135000,134900,130000,132000,134900,138900,139900,140000,142500,140000,139900,139900,139000,138900,134900,134900,134900,139000,141300,145000,149000,149500,145000,145000,145000,144900,144900,143996,146900,154900,161900,167900,169500,169900,169000,169900,169900,169000,166900,169900,169900,175300,180000,185000,189000,184900,183900,179999.5,179900,179500,175000,177990,179900,185000,189900,194900,195000,194900
"Arizona",16,181967,179900,175635,175000,170995,168900,164900,162000,159900,155000,153587.5,149900,149000,145900,146900,145000,149000,149000,149000,149900,149900,150000,152500,150500,155000,159900,164900,170000,173000,175000,175000,175000,175000,179000,180000,184900,185300,189999,196000,199990,209000,210000,214000,210000,214900,215000,215000,215000,219000,219900,224900,226763,229850,229500,228900,228153,229000,229900,229900,229900,230000,234900,239000,242490,246900,247900,241300,248800,249000,249900,249900,249900,249900,249900,250000,257900,259900,259999,259900,259000,259900,259900,259900,259900,259999,264900,266000,270000,274900,274900,274000,271945,274850,275000,275000,275000,276000,279900,280000,285000,286735,287500,285000,285000,285000,287000,287145.5,286000,289000,288400,289900,294994,295000,295000,294084
"Tennessee",17,169900,169900,169900,169900,169900,169900,169500,167300,167900,164900,165900,163900,159900,159900,159900,159900,162000,159900,160000,160000,159900,159900,159900,159500,157500,155500,159000,159900,159000,159500,159000,155900,145900,148900,154900,153998.5,154850,157643,159900,163500,166860,168900,168890,165000,165000,165000,164900,164900,164900,164900,169500,169900,174900,174900,174900,174900,174000,174500,174900,172650,172000,174900,172000,179000,185000,187900,189000,185000,185000,184000,184900,180000,184900,184000,186900,193600,199000,199900,2e+05,199900,199900,199900,199999,199900,199900,203990,210000,219000,224900,225000,229000,225900,229000,229000,229900,229000,229500,229900,234900,239900,240000,245000,244900,240000,244900,245000,249000,245990,245400,247450,249900,255000,259000,259900,259800
"Missouri",18,149900,149900,149900,149900,149900,149900,149000,147900,147500,145000,144900,139900,138800,138000,139900,139900,144900,145000,144900,142500,139900,139900,139900,135900,139000,135000,136694,139500,139900,139300,138000,135900,134950,134900,135000,130000,129900,134900,137500,139900,142000,140500,139950,139900,139900,139900,138900,135000,135000,139000,140000,144950,149280,149000,147500,145000,145000,144900,142500,139900,139900,144500,148000,149900,150000,149900,149900,149000,149500,149000,148100,144900,144900,147737,149999,157900,159900,159900,159900,159000,157900,157900,156900,154900,154900,157900,160500,168500,170000,174900,174900,172000,170000,170000,169900,169500,169900,169900,175000,182400,183900,182900,184900,182500,182900,180000,179900,179200,179000,179900,188223,190000,193900,193000,189900
"Maryland",19,259900,259900,259900,264900,260000,259900,250000,249900,249333,248492,245000,235000,230000,229900,235000,239000,242900,246945,245000,245000,244000,243900,240000,239990,239900,239950,249500,249900,250000,251950,250000,249999,249900,249900,249900,240000,240000,248000,250000,259900,269866,270000,269900,269000,269880,269900,265000,269000,259900,259900,269000,275000,280000,284900,281000,279900,279900,275000,273366,265000,260000,264000,269900,275000,280000,281234,275000,279900,281000,275000,274900,269900,269000,266144,277900,289900,295000,295000,294000,289900,289947,292386,289900,280000,279900,285000,297500,306000,310000,310000,310000,308000,309900,309000,3e+05,299900,299000,299900,309000,319900,324900,325000,324900,320000,319900,318000,314000,309520,3e+05,304990,317644.5,325000,329900,330000,329900
"Wisconsin",20,177000,179000,177900,175000,177900,176500,176900,176500,175000,174900,174900,169500,165000,166000,168500,168900,169900,169900,169000,168450,165900,164900,159900,157500,154900,154900,155000,159000,159000,159000,158000,155000,154650,150000,149900,149900,149900,154500,155600,159900,162500,164900,164900,163900,160000,159900,159900,157000,155000,155000,159900,163500,166900,169900,169900,169900,169000,167900,165000,160000,159900,164900,168000,169900,174775,174900,174900,174900,174900,174900,170000,169900,169900,169900,174900,179900,182900,184900,185000,184900,184498.5,182000,179900,179900,179000,179900,185000,189900,195500,199900,199000,198500,195000,194900,192000,189900,195000,199900,199900,209000,212900,214900,209900,207000,204900,2e+05,199900,199900,199900,209900,217684.5,220000,222950,224900,224900
