Date,ValuePerSqft,RegionID,RegionName,SizeRank
2001-11,164,9,California,1
2001-11,61,54,Texas,2
2001-11,88,43,New York,3
2001-11,77,14,Florida,4
2001-11,109,21,Illinois,5
2001-11,71,47,Pennsylvania,6
2001-11,76,44,Ohio,7
2001-11,100,30,Michigan,8
2001-11,73,16,Georgia,9
2001-11,74,36,North Carolina,10
2001-11,121,40,New Jersey,11
2001-11,88,56,Virginia,12
2001-11,112,59,Washington,13
2001-11,159,26,Massachusetts,14
2001-11,68,22,Indiana,15
2001-11,82,8,Arizona,16
2001-11,60,53,Tennessee,17
2001-11,79,32,Missouri,18
2001-11,103,27,Maryland,19
2001-11,93,60,Wisconsin,20
2001-11,121,31,Minnesota,21
2001-11,135,10,Colorado,22
2001-11,54,4,Alabama,23
2001-11,69,51,South Carolina,24
2001-11,57,25,Louisiana,25
2001-11,68,24,Kentucky,26
2001-11,98,46,Oregon,27
2001-11,48,45,Oklahoma,28
2001-11,118,11,Connecticut,29
2001-11,69,19,Iowa,30
2001-11,42,34,Mississippi,31
2001-11,47,6,Arkansas,32
2001-11,72,23,Kansas,33
2001-11,117,55,Utah,34
2001-11,94,42,Nevada,35
2001-11,86,41,New Mexico,36
2001-11,42,61,West Virginia,37
2001-11,72,38,Nebraska,38
2001-11,77,20,Idaho,39
2001-11,186,18,Hawaii,40
2001-11,97,28,Maine,41
2001-11,104,39,New Hampshire,42
2001-11,120,50,Rhode Island,43
2001-11,116,35,Montana,44
2001-11,81,13,Delaware,45
2001-11,83,52,South Dakota,46
2001-11,110,3,Alaska,47
2001-11,,37,North Dakota,48
2001-11,164,12,District of Columbia,49
2001-11,116,62,Wyoming,50
2001-12,166,9,California,1
2001-12,61,54,Texas,2
2001-12,88,43,New York,3
2001-12,78,14,Florida,4
2001-12,110,21,Illinois,5
2001-12,72,47,Pennsylvania,6
2001-12,76,44,Ohio,7
2001-12,100,30,Michigan,8
2001-12,73,16,Georgia,9
2001-12,74,36,North Carolina,10
2001-12,122,40,New Jersey,11
2001-12,88,56,Virginia,12
2001-12,113,59,Washington,13
2001-12,161,26,Massachusetts,14
2001-12,68,22,Indiana,15
2001-12,82,8,Arizona,16
2001-12,60,53,Tennessee,17
