year,month,date,days,SizeRank,RegionName
2010,5,5/1/2010,106,28,oklahoma
2010,5,5/1/2010,143,29,connecticut
2010,5,5/1/2010,108,30,iowa
2010,5,5/1/2010,115,31,mississippi
2010,5,5/1/2010,130,32,arkansas
2010,5,5/1/2010,90,33,kansas
2010,5,5/1/2010,126,34,utah
2010,5,5/1/2010,109,35,nevada
2010,5,5/1/2010,124,36,new mexico
2010,5,5/1/2010,148,37,west virginia
2010,5,5/1/2010,122,38,nebraska
2010,5,5/1/2010,125,39,idaho
2010,5,5/1/2010,96,40,hawaii
2010,5,5/1/2010,151,41,maine
2010,5,5/1/2010,133,42,new hampshire
2010,5,5/1/2010,124,43,rhode island
2010,5,5/1/2010,117,44,montana
2010,5,5/1/2010,122,45,delaware
2010,5,5/1/2010,,46,south dakota
2010,5,5/1/2010,96,47,alaska
2010,5,5/1/2010,143.5,48,north dakota
2010,5,5/1/2010,223,49,vermont
2010,5,5/1/2010,119,50,district of columbia
2010,5,5/1/2010,89,51,wyoming
2010,6,6/1/2010,89,1,california
2010,6,6/1/2010,100,2,texas
2010,6,6/1/2010,136,3,new york
2010,6,6/1/2010,130,4,florida
2010,6,6/1/2010,129,5,illinois
2010,6,6/1/2010,112,6,pennsylvania
2010,6,6/1/2010,107,7,ohio
2010,6,6/1/2010,115,8,michigan
2010,6,6/1/2010,124,9,georgia
2010,6,6/1/2010,124,10,north carolina
2010,6,6/1/2010,142,11,new jersey
2010,6,6/1/2010,96,12,virginia
2010,6,6/1/2010,103,13,washington
2010,6,6/1/2010,109,14,massachusetts
2010,6,6/1/2010,118,15,indiana
2010,6,6/1/2010,105,16,arizona
2010,6,6/1/2010,117,17,tennessee
2010,6,6/1/2010,104,18,missouri
2010,6,6/1/2010,129,19,maryland
2010,6,6/1/2010,121,20,wisconsin
2010,6,6/1/2010,123,21,minnesota
2010,6,6/1/2010,105,22,colorado
2010,6,6/1/2010,126,23,alabama
2010,6,6/1/2010,118,24,south carolina
2010,6,6/1/2010,105,25,louisiana
2010,6,6/1/2010,116.5,26,kentucky
2010,6,6/1/2010,116,27,oregon
2010,6,6/1/2010,104,28,oklahoma
2010,6,6/1/2010,113,29,connecticut
2010,6,6/1/2010,105,30,iowa
2010,6,6/1/2010,110,31,mississippi
2010,6,6/1/2010,121,32,arkansas
2010,6,6/1/2010,88,33,kansas
2010,6,6/1/2010,108,34,utah
2010,6,6/1/2010,95,35,nevada
2010,6,6/1/2010,119,36,new mexico
2010,6,6/1/2010,115,37,west virginia
2010,6,6/1/2010,103,38,nebraska
2010,6,6/1/2010,116,39,idaho
2010,6,6/1/2010,103,40,hawaii
2010,6,6/1/2010,112,41,maine
2010,6,6/1/2010,117,42,new hampshire
2010,6,6/1/2010,115,43,rhode island
2010,6,6/1/2010,116,44,montana
2010,6,6/1/2010,114,45,delaware
2010,6,6/1/2010,,46,south dakota
2010,6,6/1/2010,95,47,alaska
2010,6,6/1/2010,109,48,north dakota
2010,6,6/1/2010,134.5,49,vermont
2010,6,6/1/2010,85,50,district of columbia
2010,6,6/1/2010,79,51,wyoming
2010,7,7/1/2010,83,1,california
2010,7,7/1/2010,99,2,texas
2010,7,7/1/2010,147,3,new york
2010,7,7/1/2010,116,4,florida
2010,7,7/1/2010,129,5,illinois
2010,7,7/1/2010,112,6,pennsylvania
2010,7,7/1/2010,101,7,ohio
2010,7,7/1/2010,104,8,michigan
2010,7,7/1/2010,119,9,georgia
2010,7,7/1/2010,120,10,north carolina
2010,7,7/1/2010,139,11,new jersey
2010,7,7/1/2010,91,12,virginia
2010,7,7/1/2010,109,13,washington
2010,7,7/1/2010,101,14,massachusetts
2010,7,7/1/2010,117,15,indiana
2010,7,7/1/2010,93,16,arizona
2010,7,7/1/2010,105,17,tennessee
2010,7,7/1/2010,104,18,missouri
2010,7,7/1/2010,118,19,maryland
2010,7,7/1/2010,122.5,20,wisconsin
2010,7,7/1/2010,122,21,minnesota
2010,7,7/1/2010,103,22,colorado
2010,7,7/1/2010,120,23,alabama
2010,7,7/1/2010,131,24,south carolina
2010,7,7/1/2010,95,25,louisiana
2010,7,7/1/2010,105,26,kentucky
2010,7,7/1/2010,111,27,oregon
2010,7,7/1/2010,102,28,oklahoma
2010,7,7/1/2010,116,29,connecticut
2010,7,7/1/2010,103,30,iowa
2010,7,7/1/2010,105.5,31,mississippi
2010,7,7/1/2010,105,32,arkansas
2010,7,7/1/2010,86,33,kansas
2010,7,7/1/2010,89,34,utah
2010,7,7/1/2010,88,35,nevada
2010,7,7/1/2010,112,36,new mexico
2010,7,7/1/2010,123.5,37,west virginia
2010,7,7/1/2010,104,38,nebraska
2010,7,7/1/2010,122,39,idaho
2010,7,7/1/2010,87,40,hawaii
2010,7,7/1/2010,94,41,maine
2010,7,7/1/2010,109,42,new hampshire
2010,7,7/1/2010,120,43,rhode island
2010,7,7/1/2010,108,44,montana
2010,7,7/1/2010,108,45,delaware
2010,7,7/1/2010,,46,south dakota
2010,7,7/1/2010,78,47,alaska
2010,7,7/1/2010,83,48,north dakota
2010,7,7/1/2010,152,49,vermont
2010,7,7/1/2010,102,50,district of columbia
2010,7,7/1/2010,86,51,wyoming
2010,8,8/1/2010,85,1,california
2010,8,8/1/2010,101,2,texas
2010,8,8/1/2010,136,3,new york
2010,8,8/1/2010,110,4,florida
2010,8,8/1/2010,119,5,illinois
2010,8,8/1/2010,113,6,pennsylvania
2010,8,8/1/2010,108,7,ohio
2010,8,8/1/2010,98,8,michigan
2010,8,8/1/2010,111,9,georgia
2010,8,8/1/2010,125.5,10,north carolina
2010,8,8/1/2010,129,11,new jersey
2010,8,8/1/2010,98,12,virginia
2010,8,8/1/2010,106,13,washington
2010,8,8/1/2010,108,14,massachusetts
2010,8,8/1/2010,114,15,indiana
2010,8,8/1/2010,96,16,arizona
2010,8,8/1/2010,107,17,tennessee
2010,8,8/1/2010,105,18,missouri
2010,8,8/1/2010,131,19,maryland
2010,8,8/1/2010,120,20,wisconsin
2010,8,8/1/2010,121,21,minnesota
2010,8,8/1/2010,99,22,colorado
2010,8,8/1/2010,107,23,alabama
2010,8,8/1/2010,123,24,south carolina
2010,8,8/1/2010,86,25,louisiana
2010,8,8/1/2010,110,26,kentucky
2010,8,8/1/2010,107,27,oregon
2010,8,8/1/2010,102,28,oklahoma
2010,8,8/1/2010,116,29,connecticut
2010,8,8/1/2010,108,30,iowa
2010,8,8/1/2010,105,31,mississippi
2010,8,8/1/2010,103,32,arkansas
2010,8,8/1/2010,87,33,kansas
2010,8,8/1/2010,103,34,utah
2010,8,8/1/2010,90,35,nevada
2010,8,8/1/2010,118,36,new mexico
2010,8,8/1/2010,108,37,west virginia
2010,8,8/1/2010,109,38,nebraska
2010,8,8/1/2010,110.5,39,idaho
2010,8,8/1/2010,95,40,hawaii
2010,8,8/1/2010,94,41,maine
2010,8,8/1/2010,113,42,new hampshire
2010,8,8/1/2010,118,43,rhode island
2010,8,8/1/2010,102,44,montana
2010,8,8/1/2010,111,45,delaware
2010,8,8/1/2010,,46,south dakota
2010,8,8/1/2010,95,47,alaska
2010,8,8/1/2010,91.5,48,north dakota
2010,8,8/1/2010,96,49,vermont
2010,8,8/1/2010,95.5,50,district of columbia
2010,8,8/1/2010,110,51,wyoming
2010,9,9/1/2010,91,1,california
2010,9,9/1/2010,107,2,texas
2010,9,9/1/2010,146,3,new york
2010,9,9/1/2010,115,4,florida
2010,9,9/1/2010,125,5,illinois
2010,9,9/1/2010,117,6,pennsylvania
2010,9,9/1/2010,112,7,ohio
2010,9,9/1/2010,98,8,michigan
2010,9,9/1/2010,123,9,georgia
2010,9,9/1/2010,134,10,north carolina
2010,9,9/1/2010,139,11,new jersey
2010,9,9/1/2010,98,12,virginia
2010,9,9/1/2010,112,13,washington
2010,9,9/1/2010,116,14,massachusetts
2010,9,9/1/2010,116,15,indiana
2010,9,9/1/2010,101,16,arizona
2010,9,9/1/2010,118,17,tennessee
2010,9,9/1/2010,116,18,missouri
2010,9,9/1/2010,123,19,maryland
2010,9,9/1/2010,125,20,wisconsin
2010,9,9/1/2010,124,21,minnesota
2010,9,9/1/2010,110,22,colorado
2010,9,9/1/2010,110.5,23,alabama
2010,9,9/1/2010,131,24,south carolina
2010,9,9/1/2010,96,25,louisiana
2010,9,9/1/2010,104,26,kentucky
2010,9,9/1/2010,115,27,oregon
2010,9,9/1/2010,102,28,oklahoma
2010,9,9/1/2010,131,29,connecticut
2010,9,9/1/2010,101,30,iowa
2010,9,9/1/2010,115,31,mississippi
2010,9,9/1/2010,112,32,arkansas
2010,9,9/1/2010,98,33,kansas
2010,9,9/1/2010,107,34,utah
2010,9,9/1/2010,90,35,nevada
2010,9,9/1/2010,126,36,new mexico
2010,9,9/1/2010,128,37,west virginia
2010,9,9/1/2010,105,38,nebraska
2010,9,9/1/2010,114.5,39,idaho
2010,9,9/1/2010,84,40,hawaii
2010,9,9/1/2010,108.5,41,maine
2010,9,9/1/2010,111,42,new hampshire
2010,9,9/1/2010,127,43,rhode island
2010,9,9/1/2010,94,44,montana
2010,9,9/1/2010,133,45,delaware
2010,9,9/1/2010,,46,south dakota
2010,9,9/1/2010,100,47,alaska
2010,9,9/1/2010,105,48,north dakota
2010,9,9/1/2010,115,49,vermont
2010,9,9/1/2010,102,50,district of columbia
2010,9,9/1/2010,88.5,51,wyoming
2010,10,10/1/2010,95,1,california
2010,10,10/1/2010,115,2,texas
2010,10,10/1/2010,152,3,new york
2010,10,10/1/2010,118,4,florida
2010,10,10/1/2010,131,5,illinois
2010,10,10/1/2010,125,6,pennsylvania
2010,10,10/1/2010,120,7,ohio
2010,10,10/1/2010,108,8,michigan
2010,10,10/1/2010,125,9,georgia
2010,10,10/1/2010,132,10,north carolina
2010,10,10/1/2010,151,11,new jersey
2010,10,10/1/2010,105,12,virginia
2010,10,10/1/2010,115,13,washington
2010,10,10/1/2010,127,14,massachusetts
2010,10,10/1/2010,113,15,indiana
2010,10,10/1/2010,99,16,arizona
2010,10,10/1/2010,117,17,tennessee
2010,10,10/1/2010,115,18,missouri
2010,10,10/1/2010,124.5,19,maryland
2010,10,10/1/2010,133,20,wisconsin
2010,10,10/1/2010,130,21,minnesota
2010,10,10/1/2010,114,22,colorado
2010,10,10/1/2010,126,23,alabama
2010,10,10/1/2010,136,24,south carolina
2010,10,10/1/2010,110,25,louisiana
2010,10,10/1/2010,119,26,kentucky
2010,10,10/1/2010,121,27,oregon
2010,10,10/1/2010,110,28,oklahoma
2010,10,10/1/2010,140,29,connecticut
2010,10,10/1/2010,109,30,iowa
2010,10,10/1/2010,103,31,mississippi
2010,10,10/1/2010,119,32,arkansas
2010,10,10/1/2010,100,33,kansas
2010,10,10/1/2010,105,34,utah
2010,10,10/1/2010,91,35,nevada
2010,10,10/1/2010,126,36,new mexico
2010,10,10/1/2010,133.5,37,west virginia
2010,10,10/1/2010,109,38,nebraska
2010,10,10/1/2010,115,39,idaho
2010,10,10/1/2010,72,40,hawaii
2010,10,10/1/2010,111.5,41,maine
2010,10,10/1/2010,103,42,new hampshire
2010,10,10/1/2010,137,43,rhode island
2010,10,10/1/2010,118,44,montana
2010,10,10/1/2010,118,45,delaware
2010,10,10/1/2010,,46,south dakota
2010,10,10/1/2010,105,47,alaska
2010,10,10/1/2010,98,48,north dakota
2010,10,10/1/2010,133.5,49,vermont
2010,10,10/1/2010,103,50,district of columbia
2010,10,10/1/2010,95.5,51,wyoming
2010,11,11/1/2010,97,1,california
2010,11,11/1/2010,121,2,texas
2010,11,11/1/2010,157,3,new york
2010,11,11/1/2010,115,4,florida
2010,11,11/1/2010,141,5,illinois
2010,11,11/1/2010,126,6,pennsylvania
2010,11,11/1/2010,128,7,ohio
2010,11,11/1/2010,117,8,michigan
2010,11,11/1/2010,127,9,georgia
2010,11,11/1/2010,143,10,north carolina
2010,11,11/1/2010,157,11,new jersey
2010,11,11/1/2010,109,12,virginia
2010,11,11/1/2010,118,13,washington
2010,11,11/1/2010,118,14,massachusetts
2010,11,11/1/2010,129,15,indiana
2010,11,11/1/2010,96,16,arizona
2010,11,11/1/2010,134.5,17,tennessee
2010,11,11/1/2010,117,18,missouri
2010,11,11/1/2010,124,19,maryland
2010,11,11/1/2010,135,20,wisconsin
2010,11,11/1/2010,135,21,minnesota
2010,11,11/1/2010,116,22,colorado
2010,11,11/1/2010,142,23,alabama
2010,11,11/1/2010,142,24,south carolina
2010,11,11/1/2010,117,25,louisiana
2010,11,11/1/2010,116,26,kentucky
2010,11,11/1/2010,122,27,oregon
2010,11,11/1/2010,111,28,oklahoma
2010,11,11/1/2010,122,29,connecticut
2010,11,11/1/2010,110,30,iowa
2010,11,11/1/2010,116,31,mississippi
