date,zri,RegionID,RegionName,SizeRank
2016-05,1322,28,maine,40
2016-05,1668,39,new hampshire,41
2016-05,1213,35,montana,42
2016-05,1435,13,delaware,43
2016-05,1176,52,south dakota,44
2016-05,1858,3,alaska,45
2016-05,1361,37,north dakota,46
2016-05,2637,12,district of columbia,47
2016-05,1274,62,wyoming,48
2016-06,2365,9,california,1
2016-06,1429,54,texas,2
2016-06,1996,43,new york,3
2016-06,1525,14,florida,4
2016-06,1456,21,illinois,5
2016-06,1248,47,pennsylvania,6
2016-06,1100,44,ohio,7
2016-06,1051,30,michigan,8
2016-06,1195,16,georgia,9
2016-06,1161,36,north carolina,10
2016-06,2051,40,new jersey,11
2016-06,1438,56,virginia,12
2016-06,1643,59,washington,13
2016-06,2164,26,massachusetts,14
2016-06,1077,22,indiana,15
2016-06,1286,8,arizona,16
2016-06,1101,53,tennessee,17
2016-06,1031,32,missouri,18
2016-06,1790,27,maryland,19
2016-06,1145,60,wisconsin,20
2016-06,1409,31,minnesota,21
2016-06,1854,10,colorado,22
2016-06,997,4,alabama,23
2016-06,1186,51,south carolina,24
2016-06,1295,25,louisiana,25
2016-06,1030,24,kentucky,26
2016-06,1606,46,oregon,27
2016-06,997,45,oklahoma,28
2016-06,1842,11,connecticut,29
2016-06,1084,19,iowa,30
2016-06,1073,34,mississippi,31
2016-06,959,6,arkansas,32
2016-06,1060,23,kansas,33
2016-06,1427,55,utah,34
2016-06,1185,41,new mexico,35
2016-06,898,61,west virginia,36
2016-06,1250,38,nebraska,37
2016-06,1128,20,idaho,38
2016-06,2518,18,hawaii,39
2016-06,1345,28,maine,40
2016-06,1672,39,new hampshire,41
2016-06,1221,35,montana,42
2016-06,1434,13,delaware,43
2016-06,1187,52,south dakota,44
2016-06,1862,3,alaska,45
2016-06,1350,37,north dakota,46
2016-06,2649,12,district of columbia,47
2016-06,1257,62,wyoming,48
2016-07,2376,9,california,1
2016-07,1434,54,texas,2
2016-07,2017,43,new york,3
2016-07,1532,14,florida,4
2016-07,1460,21,illinois,5
2016-07,1249,47,pennsylvania,6
2016-07,1108,44,ohio,7
2016-07,1056,30,michigan,8
2016-07,1198,16,georgia,9
2016-07,1163,36,north carolina,10
2016-07,2072,40,new jersey,11
2016-07,1441,56,virginia,12
2016-07,1652,59,washington,13
2016-07,2202,26,massachusetts,14
2016-07,1084,22,indiana,15
2016-07,1292,8,arizona,16
2016-07,1104,53,tennessee,17
2016-07,1032,32,missouri,18
2016-07,1795,27,maryland,19
2016-07,1148,60,wisconsin,20
2016-07,1412,31,minnesota,21
2016-07,1863,10,colorado,22
2016-07,996,4,alabama,23
2016-07,1188,51,south carolina,24
2016-07,1292,25,louisiana,25
2016-07,1034,24,kentucky,26
2016-07,1620,46,oregon,27
2016-07,999,45,oklahoma,28
2016-07,1860,11,connecticut,29
2016-07,1089,19,iowa,30
2016-07,1077,34,mississippi,31
2016-07,961,6,arkansas,32
2016-07,1061,23,kansas,33
2016-07,1436,55,utah,34
2016-07,1189,41,new mexico,35
2016-07,895,61,west virginia,36
2016-07,1258,38,nebraska,37
2016-07,1133,20,idaho,38
2016-07,2532,18,hawaii,39
2016-07,1370,28,maine,40
2016-07,1671,39,new hampshire,41
2016-07,1229,35,montana,42
2016-07,1431,13,delaware,43
2016-07,1195,52,south dakota,44
2016-07,1870,3,alaska,45
2016-07,1337,37,north dakota,46
2016-07,2648,12,district of columbia,47
2016-07,1245,62,wyoming,48
2016-08,2385,9,california,1
2016-08,1437,54,texas,2
2016-08,2036,43,new york,3
2016-08,1537,14,florida,4
2016-08,1461,21,illinois,5
2016-08,1249,47,pennsylvania,6
2016-08,1115,44,ohio,7
2016-08,1059,30,michigan,8
2016-08,1199,16,georgia,9
2016-08,1165,36,north carolina,10
2016-08,2087,40,new jersey,11
2016-08,1441,56,virginia,12
2016-08,1663,59,washington,13
2016-08,2229,26,massachusetts,14
2016-08,1090,22,indiana,15
2016-08,1293,8,arizona,16
2016-08,1104,53,tennessee,17
2016-08,1027,32,missouri,18
2016-08,1798,27,maryland,19
2016-08,1150,60,wisconsin,20
2016-08,1414,31,minnesota,21
2016-08,1870,10,colorado,22
2016-08,995,4,alabama,23
2016-08,1189,51,south carolina,24
2016-08,1288,25,louisiana,25
2016-08,1036,24,kentucky,26
2016-08,1631,46,oregon,27
2016-08,996,45,oklahoma,28
2016-08,1870,11,connecticut,29
2016-08,1090,19,iowa,30
2016-08,1073,34,mississippi,31
2016-08,957,6,arkansas,32
2016-08,1061,23,kansas,33
2016-08,1441,55,utah,34
2016-08,1191,41,new mexico,35
2016-08,892,61,west virginia,36
2016-08,1260,38,nebraska,37
2016-08,1137,20,idaho,38
2016-08,2547,18,hawaii,39
2016-08,1392,28,maine,40
2016-08,1666,39,new hampshire,41
2016-08,1238,35,montana,42
2016-08,1423,13,delaware,43
2016-08,1199,52,south dakota,44
2016-08,1878,3,alaska,45
2016-08,1325,37,north dakota,46
2016-08,2632,12,district of columbia,47
2016-08,1232,62,wyoming,48
2016-09,2392,9,california,1
2016-09,1438,54,texas,2
2016-09,2045,43,new york,3
2016-09,1539,14,florida,4
2016-09,1460,21,illinois,5
2016-09,1248,47,pennsylvania,6
2016-09,1118,44,ohio,7
2016-09,1061,30,michigan,8
2016-09,1199,16,georgia,9
2016-09,1166,36,north carolina,10
2016-09,2092,40,new jersey,11
2016-09,1439,56,virginia,12
2016-09,1677,59,washington,13
2016-09,2243,26,massachusetts,14
2016-09,1093,22,indiana,15
2016-09,1293,8,arizona,16
2016-09,1103,53,tennessee,17
2016-09,1022,32,missouri,18
2016-09,1799,27,maryland,19
2016-09,1154,60,wisconsin,20
2016-09,1414,31,minnesota,21
2016-09,1872,10,colorado,22
2016-09,992,4,alabama,23
2016-09,1189,51,south carolina,24
2016-09,1283,25,louisiana,25
2016-09,1037,24,kentucky,26
2016-09,1638,46,oregon,27
2016-09,993,45,oklahoma,28
2016-09,1871,11,connecticut,29
2016-09,1086,19,iowa,30
2016-09,1067,34,mississippi,31
2016-09,952,6,arkansas,32
2016-09,1061,23,kansas,33
2016-09,1445,55,utah,34
2016-09,1192,41,new mexico,35
2016-09,892,61,west virginia,36
2016-09,1259,38,nebraska,37
2016-09,1140,20,idaho,38
2016-09,2557,18,hawaii,39
2016-09,1404,28,maine,40
2016-09,1664,39,new hampshire,41
2016-09,1241,35,montana,42
2016-09,1417,13,delaware,43
2016-09,1200,52,south dakota,44
2016-09,1877,3,alaska,45
2016-09,1319,37,north dakota,46
2016-09,2618,12,district of columbia,47
2016-09,1223,62,wyoming,48
2016-10,2396,9,california,1
2016-10,1437,54,texas,2
2016-10,2043,43,new york,3
2016-10,1539,14,florida,4
2016-10,1455,21,illinois,5
2016-10,1246,47,pennsylvania,6
2016-10,1115,44,ohio,7
2016-10,1063,30,michigan,8
2016-10,1199,16,georgia,9
2016-10,1167,36,north carolina,10
2016-10,2086,40,new jersey,11
2016-10,1437,56,virginia,12
2016-10,1689,59,washington,13
2016-10,2242,26,massachusetts,14
2016-10,1094,22,indiana,15
2016-10,1292,8,arizona,16
2016-10,1104,53,tennessee,17
2016-10,1017,32,missouri,18
2016-10,1799,27,maryland,19
2016-10,1160,60,wisconsin,20
