date,RegionName,med_rental_price,SizeRank
2011-05,Maine,,40
2011-05,New Hampshire,1500,41
2011-05,Rhode Island,,42
2011-05,Montana,,43
2011-05,Delaware,1350,44
2011-05,South Dakota,,45
2011-05,Alaska,,46
2011-05,North Dakota,,47
2011-05,District of Columbia,2597.5,48
2011-05,Wyoming,,49
2011-06,California,2200,1
2011-06,Texas,,2
2011-06,Florida,1400,3
2011-06,Illinois,1600,4
2011-06,Pennsylvania,1350,5
2011-06,Ohio,1000,6
2011-06,Michigan,1100,7
2011-06,Georgia,1150,8
2011-06,North Carolina,1095,9
2011-06,New Jersey,1850,10
2011-06,Virginia,1500,11
2011-06,Washington,1500,12
2011-06,Massachusetts,2000,13
2011-06,Indiana,850,14
2011-06,Arizona,1195,15
2011-06,Tennessee,1150,16
2011-06,Missouri,950,17
2011-06,Maryland,1700,18
2011-06,Wisconsin,,19
2011-06,Minnesota,1395,20
2011-06,Colorado,1300,21
2011-06,Alabama,1000,22
2011-06,South Carolina,1125,23
2011-06,Louisiana,1200,24
2011-06,Kentucky,975,25
2011-06,Oregon,,26
2011-06,Oklahoma,950,27
2011-06,Connecticut,2250,28
2011-06,Iowa,,29
2011-06,Mississippi,900,30
2011-06,Arkansas,900,31
2011-06,Kansas,972.5,32
2011-06,Utah,1237.5,33
2011-06,Nevada,1225,34
2011-06,New Mexico,1175,35
2011-06,West Virginia,1250,36
2011-06,Nebraska,1050,37
2011-06,Idaho,850,38
2011-06,Hawaii,2200,39
2011-06,Maine,,40
2011-06,New Hampshire,1500,41
2011-06,Rhode Island,,42
2011-06,Montana,,43
2011-06,Delaware,1300,44
2011-06,South Dakota,,45
2011-06,Alaska,,46
2011-06,North Dakota,,47
2011-06,District of Columbia,2525,48
2011-06,Wyoming,,49
2011-07,California,2125,1
2011-07,Texas,,2
2011-07,Florida,1400,3
2011-07,Illinois,1650,4
2011-07,Pennsylvania,1350,5
2011-07,Ohio,1062.5,6
2011-07,Michigan,1100,7
2011-07,Georgia,1125,8
2011-07,North Carolina,1095,9
2011-07,New Jersey,1800,10
2011-07,Virginia,1500,11
2011-07,Washington,1495,12
2011-07,Massachusetts,2000,13
2011-07,Indiana,847,14
2011-07,Arizona,1150,15
2011-07,Tennessee,1150,16
2011-07,Missouri,900,17
2011-07,Maryland,1750,18
2011-07,Wisconsin,,19
2011-07,Minnesota,1395,20
2011-07,Colorado,1335,21
2011-07,Alabama,1000,22
2011-07,South Carolina,1100,23
2011-07,Louisiana,1300,24
2011-07,Kentucky,999,25
2011-07,Oregon,,26
2011-07,Oklahoma,997,27
2011-07,Connecticut,2137.5,28
2011-07,Iowa,,29
2011-07,Mississippi,895,30
2011-07,Arkansas,900,31
2011-07,Kansas,1000,32
2011-07,Utah,1200,33
2011-07,Nevada,1200,34
2011-07,New Mexico,1200,35
2011-07,West Virginia,1225,36
2011-07,Nebraska,1125,37
2011-07,Idaho,875,38
2011-07,Hawaii,2200,39
2011-07,Maine,,40
2011-07,New Hampshire,1650,41
2011-07,Rhode Island,,42
2011-07,Montana,,43
2011-07,Delaware,1300,44
2011-07,South Dakota,,45
2011-07,Alaska,,46
2011-07,North Dakota,,47
2011-07,District of Columbia,2700,48
2011-07,Wyoming,,49
2011-08,California,2100,1
2011-08,Texas,,2
2011-08,Florida,1400,3
2011-08,Illinois,1600,4
2011-08,Pennsylvania,1350,5
2011-08,Ohio,1000,6
2011-08,Michigan,1100,7
2011-08,Georgia,1100,8
2011-08,North Carolina,1075,9
2011-08,New Jersey,1800,10
2011-08,Virginia,1495,11
2011-08,Washington,1450,12
2011-08,Massachusetts,1950,13
2011-08,Indiana,850,14
2011-08,Arizona,1150,15
2011-08,Tennessee,1150,16
2011-08,Missouri,945,17
2011-08,Maryland,1750,18
2011-08,Wisconsin,,19
2011-08,Minnesota,1395,20
2011-08,Colorado,1300,21
2011-08,Alabama,995,22
2011-08,South Carolina,1125,23
2011-08,Louisiana,1297.5,24
2011-08,Kentucky,1000,25
2011-08,Oregon,,26
2011-08,Oklahoma,900,27
2011-08,Connecticut,2000,28
2011-08,Iowa,,29
2011-08,Mississippi,900,30
2011-08,Arkansas,900,31
2011-08,Kansas,1000,32
2011-08,Utah,1200,33
2011-08,Nevada,1200,34
2011-08,New Mexico,1175,35
2011-08,West Virginia,1200,36
2011-08,Nebraska,1100,37
2011-08,Idaho,875,38
2011-08,Hawaii,2100,39
2011-08,Maine,,40
2011-08,New Hampshire,1600,41
2011-08,Rhode Island,,42
2011-08,Montana,1150,43
2011-08,Delaware,1300,44
2011-08,South Dakota,,45
2011-08,Alaska,,46
2011-08,North Dakota,,47
2011-08,District of Columbia,2650,48
2011-08,Wyoming,,49
2011-09,California,2000,1
2011-09,Texas,,2
2011-09,Florida,1400,3
2011-09,Illinois,1600,4
2011-09,Pennsylvania,1300,5
2011-09,Ohio,1000,6
2011-09,Michigan,1000,7
2011-09,Georgia,1100,8
2011-09,North Carolina,1050,9
2011-09,New Jersey,1700,10
2011-09,Virginia,1450,11
2011-09,Washington,1400,12
2011-09,Massachusetts,1900,13
2011-09,Indiana,800,14
2011-09,Arizona,1100,15
2011-09,Tennessee,1100,16
2011-09,Missouri,900,17
2011-09,Maryland,1700,18
2011-09,Wisconsin,,19
2011-09,Minnesota,1395,20
2011-09,Colorado,1300,21
2011-09,Alabama,955,22
2011-09,South Carolina,1100,23
2011-09,Louisiana,1200,24
2011-09,Kentucky,990,25
2011-09,Oregon,1250,26
2011-09,Oklahoma,950,27
2011-09,Connecticut,1975,28
2011-09,Iowa,,29
2011-09,Mississippi,900,30
2011-09,Arkansas,895,31
2011-09,Kansas,1050,32
2011-09,Utah,1195,33
2011-09,Nevada,1200,34
2011-09,New Mexico,1195,35
2011-09,West Virginia,1200,36
2011-09,Nebraska,1050,37
2011-09,Idaho,875,38
2011-09,Hawaii,2200,39
2011-09,Maine,,40
2011-09,New Hampshire,1500,41
2011-09,Rhode Island,,42
2011-09,Montana,1125,43
2011-09,Delaware,1295,44
2011-09,South Dakota,,45
2011-09,Alaska,,46
2011-09,North Dakota,,47
2011-09,District of Columbia,2635,48
2011-09,Wyoming,,49
2011-10,California,1995,1
2011-10,Texas,,2
2011-10,Florida,1400,3
2011-10,Illinois,1550,4
2011-10,Pennsylvania,1250,5
2011-10,Ohio,950,6
2011-10,Michigan,825,7
2011-10,Georgia,1100,8
2011-10,North Carolina,1025,9
2011-10,New Jersey,1650,10
2011-10,Virginia,1400,11
2011-10,Washington,1395,12
2011-10,Massachusetts,1800,13
2011-10,Indiana,800,14
2011-10,Arizona,1100,15
2011-10,Tennessee,1100,16
2011-10,Missouri,900,17
2011-10,Maryland,1690,18
2011-10,Wisconsin,,19
2011-10,Minnesota,1390,20
2011-10,Colorado,1297,21
2011-10,Alabama,950,22
2011-10,South Carolina,1100,23
2011-10,Louisiana,1150,24
2011-10,Kentucky,975,25
2011-10,Oregon,1200,26
2011-10,Oklahoma,875,27
2011-10,Connecticut,1900,28
2011-10,Iowa,1100,29
2011-10,Mississippi,900,30
2011-10,Arkansas,875,31
2011-10,Kansas,1000,32
2011-10,Utah,1150,33
2011-10,Nevada,1200,34
2011-10,New Mexico,1175,35
2011-10,West Virginia,1075,36
2011-10,Nebraska,1000,37
2011-10,Idaho,850,38
2011-10,Hawaii,2197.5,39
2011-10,Maine,,40
2011-10,New Hampshire,1450,41
2011-10,Rhode Island,1650,42
2011-10,Montana,950,43
2011-10,Delaware,1250,44
2011-10,South Dakota,,45
2011-10,Alaska,,46
2011-10,North Dakota,,47
2011-10,District of Columbia,2700,48
2011-10,Wyoming,,49
2011-11,California,1900,1
2011-11,Texas,,2
2011-11,Florida,1400,3
2011-11,Illinois,1500,4
2011-11,Pennsylvania,1200,5
2011-11,Ohio,900,6
2011-11,Michigan,800,7
2011-11,Georgia,1075,8
2011-11,North Carolina,1000,9
2011-11,New Jersey,1700,10
2011-11,Virginia,1375,11
2011-11,Washington,1375,12
2011-11,Massachusetts,1800,13
2011-11,Indiana,800,14
2011-11,Arizona,1095,15
2011-11,Tennessee,1050,16
2011-11,Missouri,900,17
2011-11,Maryland,1650,18
2011-11,Wisconsin,,19
2011-11,Minnesota,1350,20
2011-11,Colorado,1295,21
2011-11,Alabama,995,22
2011-11,South Carolina,1100,23
2011-11,Louisiana,1200,24
2011-11,Kentucky,949,25
2011-11,Oregon,1195,26
2011-11,Oklahoma,875,27
2011-11,Connecticut,1800,28
2011-11,Iowa,1080,29
2011-11,Mississippi,900,30
2011-11,Arkansas,850,31
2011-11,Kansas,895,32
2011-11,Utah,1105,33
2011-11,Nevada,1195,34
2011-11,New Mexico,1100,35
2011-11,West Virginia,1050,36
2011-11,Nebraska,925,37
2011-11,Idaho,850,38
2011-11,Hawaii,2100,39
2011-11,Maine,,40
2011-11,New Hampshire,1450,41
2011-11,Rhode Island,1600,42
2011-11,Montana,900,43
2011-11,Delaware,1250,44
2011-11,South Dakota,,45
2011-11,Alaska,1400,46
2011-11,North Dakota,,47
2011-11,District of Columbia,2750,48
2011-11,Wyoming,,49
2011-12,California,1895,1
2011-12,Texas,,2
2011-12,Florida,1400,3
2011-12,Illinois,1500,4
2011-12,Pennsylvania,1200,5
2011-12,Ohio,900,6
2011-12,Michigan,800,7
2011-12,Georgia,1050,8
2011-12,North Carolina,1000,9
2011-12,New Jersey,1700,10
2011-12,Virginia,1350,11
2011-12,Washington,1350,12
2011-12,Massachusetts,1800,13
2011-12,Indiana,800,14
2011-12,Arizona,1095,15
2011-12,Tennessee,1050,16
2011-12,Missouri,895,17
2011-12,Maryland,1650,18
2011-12,Wisconsin,,19
2011-12,Minnesota,1300,20
2011-12,Colorado,1250,21
2011-12,Alabama,1000,22
2011-12,South Carolina,1100,23
2011-12,Louisiana,1200,24
2011-12,Kentucky,949,25
2011-12,Oregon,1195,26
2011-12,Oklahoma,895,27
2011-12,Connecticut,1800,28
2011-12,Iowa,997.5,29
2011-12,Mississippi,950,30
2011-12,Arkansas,875,31
2011-12,Kansas,900,32
2011-12,Utah,1100,33
2011-12,Nevada,1195,34
2011-12,New Mexico,1100,35
2011-12,West Virginia,1100,36
2011-12,Nebraska,962.5,37
2011-12,Idaho,850,38
2011-12,Hawaii,2100,39
2011-12,Maine,,40
2011-12,New Hampshire,1500,41
2011-12,Rhode Island,1700,42
2011-12,Montana,900,43
2011-12,Delaware,1250,44
2011-12,South Dakota,,45
2011-12,Alaska,1500,46
2011-12,North Dakota,,47
2011-12,District of Columbia,2500,48
2011-12,Wyoming,,49
2012-01,California,1850,1
2012-01,Texas,,2
2012-01,Florida,1395,3
2012-01,Illinois,1495,4
2012-01,Pennsylvania,1200,5
2012-01,Ohio,950,6
2012-01,Michigan,800,7
2012-01,Georgia,1050,8
2012-01,North Carolina,1000,9
2012-01,New Jersey,1700,10
2012-01,Virginia,1350,11
2012-01,Washington,1350,12
2012-01,Massachusetts,1850,13
2012-01,Indiana,850,14
2012-01,Arizona,1100,15
2012-01,Tennessee,1050,16
2012-01,Missouri,950,17
2012-01,Maryland,1625,18
2012-01,Wisconsin,,19
2012-01,Minnesota,1300,20
2012-01,Colorado,1250,21
2012-01,Alabama,995,22
2012-01,South Carolina,1100,23
2012-01,Louisiana,1200,24
2012-01,Kentucky,900,25
2012-01,Oregon,1150,26
2012-01,Oklahoma,895,27
2012-01,Connecticut,1800,28
2012-01,Iowa,950,29
2012-01,Mississippi,950,30
2012-01,Arkansas,850,31
2012-01,Kansas,950,32
2012-01,Utah,1100,33
2012-01,Nevada,1195,34
2012-01,New Mexico,1100,35
2012-01,West Virginia,1000,36
2012-01,Nebraska,950,37
2012-01,Idaho,850,38
2012-01,Hawaii,2140,39
2012-01,Maine,,40
2012-01,New Hampshire,1450,41
2012-01,Rhode Island,1750,42
2012-01,Montana,895,43
2012-01,Delaware,1275,44
2012-01,South Dakota,,45
2012-01,Alaska,1512.5,46
2012-01,North Dakota,,47
2012-01,District of Columbia,2500,48
2012-01,Wyoming,,49
2012-02,California,1850,1
2012-02,Texas,,2
2012-02,Florida,1400,3
2012-02,Illinois,1500,4
2012-02,Pennsylvania,1200,5
2012-02,Ohio,950,6
2012-02,Michigan,822.5,7
2012-02,Georgia,1050,8
2012-02,North Carolina,1000,9
2012-02,New Jersey,1700,10
2012-02,Virginia,1350,11
2012-02,Washington,1350,12
2012-02,Massachusetts,1900,13
2012-02,Indiana,850,14
2012-02,Arizona,1100,15
2012-02,Tennessee,1050,16
2012-02,Missouri,895,17
2012-02,Maryland,1600,18
2012-02,Wisconsin,,19
2012-02,Minnesota,1350,20
2012-02,Colorado,1295,21
2012-02,Alabama,1000,22
2012-02,South Carolina,1100,23
2012-02,Louisiana,1200,24
2012-02,Kentucky,900,25
2012-02,Oregon,1150,26
2012-02,Oklahoma,895,27
2012-02,Connecticut,1750,28
2012-02,Iowa,997.5,29
2012-02,Mississippi,950,30
2012-02,Arkansas,850,31
2012-02,Kansas,995,32
2012-02,Utah,1100,33
2012-02,Nevada,1175,34
2012-02,New Mexico,1100,35
2012-02,West Virginia,1000,36
2012-02,Nebraska,995,37
2012-02,Idaho,825,38
2012-02,Hawaii,2100,39
2012-02,Maine,,40
2012-02,New Hampshire,1400,41
2012-02,Rhode Island,1800,42
2012-02,Montana,895,43
2012-02,Delaware,1250,44
2012-02,South Dakota,,45
2012-02,Alaska,1537.5,46
2012-02,North Dakota,,47
2012-02,District of Columbia,2650,48
2012-02,Wyoming,,49
2012-03,California,1895,1
2012-03,Texas,,2
2012-03,Florida,1495,3
2012-03,Illinois,1500,4
2012-03,Pennsylvania,1250,5
2012-03,Ohio,950,6
2012-03,Michigan,840,7
2012-03,Georgia,1050,8
2012-03,North Carolina,1050,9
2012-03,New Jersey,1750,10
2012-03,Virginia,1400,11
2012-03,Washington,1385,12
2012-03,Massachusetts,2000,13
2012-03,Indiana,850,14
2012-03,Arizona,1100,15
