Pivot1 Names,RegionName,SizeRank,RegionID,Pivot1 Values
2003-06,Nebraska,38,38,99700
2003-06,Idaho,39,20,130100
2003-06,Hawaii,40,18,329800
2003-06,Maine,41,28,153300
2003-06,New Hampshire,42,39,216700
2003-06,Rhode Island,43,50,228600
2003-06,Montana,44,35,145900
2003-06,Delaware,45,13,160700
2003-06,South Dakota,46,52,94700
2003-06,Alaska,47,3,206600
2003-06,North Dakota,48,37,
2003-06,Vermont,49,58,138800
2003-06,District of Columbia,50,12,252000
2003-06,Wyoming,51,62,155400
2003-07,California,1,9,344300
2003-07,Texas,2,54,116900
2003-07,New York,3,43,197300
2003-07,Florida,4,14,147100
2003-07,Illinois,5,21,161000
2003-07,Pennsylvania,6,47,115200
2003-07,Ohio,7,44,116300
2003-07,Michigan,8,30,123100
2003-07,Georgia,9,16,140700
2003-07,North Carolina,10,36,124600
2003-07,New Jersey,11,40,266900
2003-07,Virginia,12,56,170400
2003-07,Washington,13,59,195600
2003-07,Massachusetts,14,26,316600
2003-07,Indiana,15,22,104900
2003-07,Arizona,16,8,154800
2003-07,Tennessee,17,53,94100
2003-07,Missouri,18,32,122900
2003-07,Maryland,19,27,201800
2003-07,Wisconsin,20,60,147800
2003-07,Minnesota,21,31,180700
2003-07,Colorado,22,10,216300
2003-07,Alabama,23,4,97000
2003-07,South Carolina,24,51,111600
2003-07,Louisiana,25,25,94300
2003-07,Kentucky,26,24,102200
2003-07,Oregon,27,46,167800
2003-07,Oklahoma,28,45,77600
2003-07,Connecticut,29,11,232900
2003-07,Iowa,30,19,92000
2003-07,Mississippi,31,34,70000
2003-07,Arkansas,32,6,80200
2003-07,Kansas,33,23,101000
2003-07,Utah,34,55,170900
2003-07,Nevada,35,42,186100
2003-07,New Mexico,36,41,141900
2003-07,West Virginia,37,61,70600
2003-07,Nebraska,38,38,100500
2003-07,Idaho,39,20,130600
2003-07,Hawaii,40,18,335200
2003-07,Maine,41,28,155200
2003-07,New Hampshire,42,39,219100
2003-07,Rhode Island,43,50,232500
2003-07,Montana,44,35,143600
2003-07,Delaware,45,13,162700
2003-07,South Dakota,46,52,95100
2003-07,Alaska,47,3,208300
2003-07,North Dakota,48,37,
2003-07,Vermont,49,58,140200
2003-07,District of Columbia,50,12,256800
2003-07,Wyoming,51,62,156300
2003-08,California,1,9,349900
2003-08,Texas,2,54,117100
2003-08,New York,3,43,199200
2003-08,Florida,4,14,148600
2003-08,Illinois,5,21,161900
2003-08,Pennsylvania,6,47,116200
2003-08,Ohio,7,44,116600
2003-08,Michigan,8,30,123700
2003-08,Georgia,9,16,140900
2003-08,North Carolina,10,36,125100
2003-08,New Jersey,11,40,269900
2003-08,Virginia,12,56,172300
2003-08,Washington,13,59,197200
2003-08,Massachusetts,14,26,318900
2003-08,Indiana,15,22,104600
2003-08,Arizona,16,8,155500
2003-08,Tennessee,17,53,94400
2003-08,Missouri,18,32,123300
2003-08,Maryland,19,27,204500
2003-08,Wisconsin,20,60,148400
2003-08,Minnesota,21,31,181700
2003-08,Colorado,22,10,216500
2003-08,Alabama,23,4,97300
2003-08,South Carolina,24,51,112100
2003-08,Louisiana,25,25,95200
2003-08,Kentucky,26,24,102500
2003-08,Oregon,27,46,168800
